name,asset_idx,asset,family,lookback,mode,lag_signal,threshold,full_mean_pl,full_std_pl,full_sharpe,full_score,full_worst_day,roll_mean_score,roll_median_score,roll_min_score,roll_neg_count,roll_positive_count,corr_to_market,vol_window,z_window,leader,lag,train_corr,abs_corr_to_market
NAYO_market_spread_z_w60_reversal_e1.0,35,NAYO,market_spread_z,,reversal,,1.0,27.33770907600005,248.58032163197504,1.7388630387888526,20.543443842868058,-709.6000660000009,22.284796052266866,20.507748902304257,10.292202697339276,0,15,0.1466308488844572,,60.0,,,,0.1466308488844572
ULXY_own_z_l2_v20_reversal_e0.5,40,ULXY,own_return_z,2.0,reversal,,0.5,36.45211391199996,256.75852033455345,2.2447493726718926,30.415896149736945,-752.2724879999987,22.87205763532479,23.612786564035638,9.19711501957351,0,15,0.18618331990845907,20.0,,,,,0.18618331990845907
ELLT_lead1_GARI_corr+1,29,GARI,lead_lag,,momentum,,,37.785078768000034,220.51795201313016,2.709233179996033,33.25446359254198,-535.3700160000008,26.310435039770628,28.40083542333193,8.826038763456781,0,15,-0.12652397759200895,,,ELLT,1.0,0.1523066527517298,0.12652397759200895
ULXY_own_z_l2_v60_reversal_e0.5,40,ULXY,own_return_z,2.0,reversal,,0.5,36.06213652799996,255.8602036233519,2.2285311882325938,30.01788352057918,-752.2724879999987,22.355252379724707,24.065817079832946,7.282158791064085,0,15,0.18657488800801675,60.0,,,,,0.18657488800801675
ULXY_own_z_l2_v40_reversal_e0.5,40,ULXY,own_return_z,2.0,reversal,,0.5,35.65102131199998,254.58746550392215,2.214139412440702,29.610945961100942,-752.2724879999987,21.172504834201284,23.29002289129213,7.282158791064085,0,15,0.18816702572262897,40.0,,,,,0.18816702572262897
CCNS_lead1_CUBO_corr-1,14,CUBO,lead_lag,,momentum,,,23.712984272000096,156.97534285811204,2.3884974243072636,20.17632992515423,-417.5095340000016,23.50000110042907,23.914679446133185,6.345688858943236,0,15,0.09448642116268255,,,CCNS,1.0,-0.1600744604838897,0.09448642116268255
SRNA_absolute_return_w10_momentum_lag,3,SRNA,absolute_return,10.0,momentum,True,0.0,14.139021299999982,155.59501324283096,1.4367912654069233,9.525014092504478,-462.9617269999999,19.747666889839117,21.382935063530415,4.381090717152392,0,15,0.02312448543587427,,,,,,0.02312448543587427
MTNS_lead2_FCSG_corr+1,47,FCSG,lead_lag,,momentum,,,22.380427355999977,253.57167615073604,1.395525054833585,14.787381747918667,-546.3005699999994,30.014229318576454,25.366993582259973,4.2992136492083155,0,15,-0.0009708562867007562,,,MTNS,2.0,0.1874233862411082,0.0009708562867007562
HETT_lead2_DIHO_corr-1,17,DIHO,lead_lag,,momentum,,,22.094382952000036,201.0078450179326,1.7379563871768682,16.598940918206306,-553.4308000000001,33.89271660171933,28.698389511348832,4.29342638776752,0,15,0.07960281789799989,,,HETT,2.0,-0.18705183555158272,0.07960281789799989
NAYO_relative_return_w10_reversal_lag,35,NAYO,relative_return,10.0,reversal,True,0.0,29.36764386399999,333.58119898551433,1.3919945789112196,19.3706548477697,-709.6000660000009,17.62885565893138,18.422404096806535,3.459827419201495,0,15,0.07049082035399615,,,,,,0.07049082035399615
NAYO_market_spread_z_w20_reversal_e1.0,35,NAYO,market_spread_z,,reversal,,1.0,18.97707114400001,240.6120519184911,1.2470441038927316,11.549991948908525,-689.336467000001,15.438878592605827,13.82520637673658,2.7407744241286087,0,15,0.06990274650071653,,20.0,,,,0.06990274650071653
ALGO_lead1_ULXY_corr-1,40,ULXY,lead_lag,,momentum,,,43.662325235999916,298.93206772028935,2.3094276358132793,36.768407412756225,-760.2689840000003,30.233046290279912,26.03976001656968,2.1969132298466216,0,15,0.16383135126969223,,,ALGO,1.0,-0.16157345473574763,0.16383135126969223
BLBT_own_z_l5_v40_reversal_e0.5,41,BLBT,own_return_z,5.0,reversal,,0.5,12.446436392000047,114.78028383532785,1.7145404435310458,9.287160881608218,-316.8151199999975,7.757510799113957,6.941000246762143,1.9842674834454703,0,15,0.06712540664171932,40.0,,,,,0.06712540664171932
ULXY_absolute_return_w60_reversal_lag,40,ULXY,absolute_return,60.0,reversal,True,0.0,52.208683623999946,299.1493187881591,2.759463978721061,46.1482243549895,-846.6058790000025,31.443712064037324,29.58182583204461,1.9020619866541637,0,15,0.07011879432455652,,,,,,0.07011879432455652
MDGI_own_z_l5_v60_reversal_e1.0,22,MDGI,own_return_z,5.0,reversal,,1.0,20.516321432000076,172.01697408611713,1.885811132242317,16.013458328236403,-580.3405919999996,18.236336313682333,18.460170528907355,1.601638226687417,0,15,-0.029147430950867477,60.0,,,,,0.029147430950867477
CCNS_lead2_CTGI_corr-1,25,CTGI,lead_lag,,momentum,,,29.296389928000092,301.88572842820946,1.5344103855993947,20.562709716482335,-792.1268159999981,27.37129765746573,22.338892441039416,1.4720409917265924,0,15,-0.0268805354074553,,,CCNS,2.0,-0.15793121183195521,0.0268805354074553
RTTH_relative_return_w20_reversal_cur,18,RTTH,relative_return,20.0,reversal,False,0.0,27.802595875999955,308.08303416527787,1.4268803874834246,18.64491831895062,-778.3852139999999,24.75376722180602,22.564574660182124,1.3411892509478403,0,15,-0.10190686523139421,,,,,,0.10190686523139421
