up_threshold,down_threshold,full_score,full_mean,full_std,full_sharpe,full_dvolume,min_cv_score,avg_cv_score,cv_scores,avg_cv_sharpe
0.0,0.0,705.8257945445658,824.8176221527988,5354.732004647888,2.435511560600047,103159348.40999995,226.22659716291216,685.8404393670936,"[np.float64(1596.332683512826), np.float64(226.22659716291216), np.float64(247.0683116503655), np.float64(673.7341651422706)]",2.4260808831856653
0.0,0.0005,712.9021623724201,831.1610124399988,5352.504333551491,2.455263683923046,103152736.49999994,226.22659716291216,690.2662795755037,"[np.float64(1596.332683512826), np.float64(226.22659716291216), np.float64(247.0683116503655), np.float64(691.4375259759113)]",2.4388313618299686
0.0,0.001,673.5980953772674,795.2048294448005,5342.289274750712,2.353540156741737,102059530.61999993,154.78061952808204,643.210664515037,"[np.float64(1596.332683512826), np.float64(190.0674201340927), np.float64(154.78061952808204), np.float64(631.6619348851473)]",2.31010219986046
0.0,0.0015,747.4186345087537,860.3291353928009,5287.128202665168,2.5728519348870855,102044025.86999995,318.19666437107975,729.128743722536,"[np.float64(1610.0403258280915), np.float64(356.6160498058257), np.float64(318.19666437107975), np.float64(631.6619348851473)]",2.5543377791571578
0.0,0.002,717.6607555239358,832.9253670120016,5277.9404956175695,2.4952358622427067,102019534.30999996,244.00867597521383,691.7765838735602,"[np.float64(1610.0403258280915), np.float64(356.6160498058257), np.float64(244.00867597521383), np.float64(556.4412838851097)]",2.454522365376579
0.0,0.0025,697.375948021324,814.2899703328013,5271.67840594215,2.4423065898519907,102004588.11999996,244.00867597521383,679.7536256391459,"[np.float64(1561.9484928904346), np.float64(356.6160498058257), np.float64(244.00867597521383), np.float64(556.4412838851097)]",2.42172681453338
0.0,0.003,670.5860934374663,789.8462173440009,5266.631151925561,2.3712625547758646,101953525.71999997,167.04881421187474,648.3266639669521,"[np.float64(1581.0253683484234), np.float64(352.7285939952587), np.float64(167.04881421187474), np.float64(492.5038793122511)]",2.3364455245190365
0.0,0.004,681.5096191873961,791.4399805512037,5025.865042590999,2.48987283646888,100794478.70999998,390.8875196533605,717.7692329739423,"[np.float64(1315.7200049511493), np.float64(390.8875196533605), np.float64(472.1093478751241), np.float64(692.3600594161355)]",2.6166869806073594
0.0,0.005,727.3576308034036,828.9778374960055,4899.242782898299,2.675370677116665,100704226.73999996,271.8624027208582,716.318448302138,"[np.float64(1253.5972670722315), np.float64(271.8624027208582), np.float64(455.36803726342504), np.float64(884.446086152037)]",2.679242782937252
0.0,0.0075,749.7733871582307,839.0996934992047,4579.396461766995,2.897178959673224,100512573.78,411.76719347675123,738.0702328219319,"[np.float64(1285.7644437771748), np.float64(479.9034814854586), np.float64(411.76719347675123), np.float64(774.845812548343)]",2.8860384956501006
