day,daily_pl,cumulative_pl
2,0.0,0.0
3,8.936852999995608,8.936852999995608
4,920.7602850000003,929.6971379999959
5,1249.6240569999936,2179.3211949999895
6,705.231371000009,2884.5525659999985
7,-289.4975570000024,2595.055008999996
8,-339.60890300000756,2255.4461059999885
9,522.7798619999994,2778.225967999988
10,-309.1736369999926,2469.0523309999953
11,-406.3981400000084,2062.654190999987
12,-111.46704500000669,1951.1871459999802
13,1313.267262999998,3264.454408999978
14,221.02374799999416,3485.4781569999723
15,-691.0475479999841,2794.430608999988
16,1106.1954469999946,3900.626055999983
17,-418.82059099998514,3481.8054649999976
18,366.6197350000075,3848.425200000005
19,-28.327389000005496,3820.0978109999996
20,-816.5109910000028,3003.586819999997
21,-169.47693900000013,2834.1098809999967
22,-299.95399100000213,2534.1558899999945
23,332.98471300000165,2867.140602999996
24,909.9846660000003,3777.1252689999965
25,-956.6009709999962,2820.5242980000003
26,648.0603470000024,3468.5846450000026
27,288.5175760000002,3757.102221000003
28,898.805509000018,4655.907730000021
29,-135.65792700000384,4520.249803000017
30,1311.279613000006,5831.529416000023
31,1002.2219569999834,6833.751373000006
32,-1849.8072349999984,4983.944138000008
33,514.7358980000117,5498.68003600002
34,1055.2178439999843,6553.897880000004
35,511.96849700000166,7065.866377000006
36,905.4359089999962,7971.302286000002
37,-719.898336000002,7251.40395
38,-1428.8016079999834,5822.6023420000165
39,-369.8695360000129,5452.732806000004
40,8.850938999996288,5461.583745
41,158.69725800001106,5620.281003000011
42,-436.9607250000081,5183.320278000003
43,142.59953300000416,5325.919811000007
44,-1581.3033110000179,3744.616499999989
45,404.01093699999547,4148.627436999985
46,326.42815899999187,4475.0555959999765
47,174.55924400001823,4649.614839999995
48,1504.0998340000078,6153.714674000003
49,-31.399640999996336,6122.315033000006
50,-456.79610200000025,5665.518931000006
51,512.3909360000034,6177.909867000009
52,-228.7938479999866,5949.116019000023
53,1738.665850999998,7687.781870000021
54,1843.3794100000014,9531.161280000022
55,-954.7472830000042,8576.413997000018
56,1184.126778999991,9760.540776000009
57,2240.2317010000115,12000.77247700002
58,1074.1364659999927,13074.908943000013
59,350.759594000021,13425.668537000034
60,1260.5748899999926,14686.243427000027
61,853.9259809999967,15540.169408000023
62,807.7055039999905,16347.874912000014
63,16.87436900001194,16364.749281000026
64,1755.7990970000064,18120.548378000032
65,10.983795999982249,18131.532174000014
66,745.4678849999837,18877.000058999998
67,-829.0153400000017,18047.984718999996
68,28.323370000009163,18076.308089000006
69,-1306.2548340000285,16770.053254999977
70,175.65181400003348,16945.70506900001
71,275.9874969999946,17221.692566000005
72,-91.89431499999046,17129.798251000015
73,513.1251119999797,17642.923362999994
74,510.7403439999907,18153.663706999985
75,555.4821809999994,18709.145887999985
76,1445.495925000003,20154.641812999987
77,-1694.7605670000085,18459.88124599998
78,-1771.048907999986,16688.832337999993
79,1684.1077539999824,18372.940091999975
80,-391.74889300001087,17981.191198999964
81,2747.787224000007,20728.97842299997
82,-2910.07555999999,17818.90286299998
83,2228.381325999995,20047.284188999976
84,-476.80710300000646,19570.47708599997
85,717.8552099999943,20288.332295999964
86,1773.3307949999908,22061.663090999955
87,-1899.3524940000098,20162.310596999945
88,1435.9002620000247,21598.21085899997
89,117.01059199999145,21715.22145099996
90,-974.7124839999924,20740.50896699997
91,417.66464599998653,21158.173612999955
92,2360.4477939999997,23518.621406999955
93,-2549.5070549999873,20969.114351999968
94,889.0931610000043,21858.207512999972
95,1207.4126899999974,23065.62020299997
96,232.79040600000735,23298.410608999977
97,-761.6758960000116,22536.734712999965
98,-228.25008799998977,22308.484624999975
99,-1784.201724000006,20524.28290099997
100,61.25165399999241,20585.534554999962
101,777.3552200000122,21362.889774999974
102,551.7810809999864,21914.67085599996
103,2851.315200999994,24765.986056999955
104,-983.952582000009,23782.033474999946
105,-1330.2522279999976,22451.781246999948
106,1743.870824000005,24195.652070999953
107,-138.30195600000297,24057.35011499995
108,2038.7895200000057,26096.139634999956
109,1576.6128090000166,27672.752443999972
110,788.9092640000199,28461.661707999992
111,-82.4245290000108,28379.23717899998
