kind,max_depth,min_samples_leaf,ccp_alpha,prob_threshold,train_val_score,train_val_mean,train_val_sharpe
day_tree,1,80,0.003,0.55,1318.8764539135907,1384.0321660820034,4.499101690299011
day_tree,1,80,0.001,0.5,1318.8764539135907,1384.0321660820034,4.499101690299011
day_tree,1,80,0.01,0.5,1318.8764539135907,1384.0321660820034,4.499101690299011
day_tree,2,80,0.01,0.55,1318.8764539135907,1384.0321660820034,4.499101690299011
day_tree,2,80,0.01,0.5,1318.8764539135907,1384.0321660820034,4.499101690299011
day_tree,2,80,0.003,0.55,1318.8764539135907,1384.0321660820034,4.499101690299011
day_tree,2,80,0.003,0.5,1318.8764539135907,1384.0321660820034,4.499101690299011
day_tree,1,80,0.0,0.5,1318.8764539135907,1384.0321660820034,4.499101690299011
day_tree,1,80,0.0,0.55,1318.8764539135907,1384.0321660820034,4.499101690299011
day_tree,2,80,0.001,0.55,1318.8764539135907,1384.0321660820034,4.499101690299011
day_tree,3,80,0.0,0.5,1318.8764539135907,1384.0321660820034,4.499101690299011
day_tree,3,80,0.0,0.55,1318.8764539135907,1384.0321660820034,4.499101690299011
day_tree,2,80,0.001,0.5,1318.8764539135907,1384.0321660820034,4.499101690299011
day_tree,3,80,0.001,0.5,1318.8764539135907,1384.0321660820034,4.499101690299011
day_tree,3,80,0.001,0.55,1318.8764539135907,1384.0321660820034,4.499101690299011
day_tree,1,80,0.001,0.55,1318.8764539135907,1384.0321660820034,4.499101690299011
day_tree,2,80,0.0,0.55,1318.8764539135907,1384.0321660820034,4.499101690299011
day_tree,3,80,0.003,0.5,1318.8764539135907,1384.0321660820034,4.499101690299011
day_tree,3,80,0.003,0.55,1318.8764539135907,1384.0321660820034,4.499101690299011
day_tree,2,80,0.0,0.5,1318.8764539135907,1384.0321660820034,4.499101690299011
day_tree,1,80,0.003,0.5,1318.8764539135907,1384.0321660820034,4.499101690299011
day_tree,3,80,0.01,0.5,1318.8764539135907,1384.0321660820034,4.499101690299011
day_tree,3,80,0.01,0.55,1318.8764539135907,1384.0321660820034,4.499101690299011
day_tree,1,80,0.01,0.55,1318.8764539135907,1384.0321660820034,4.499101690299011
day_tree,1,40,0.01,0.5,1069.5383701939036,1133.2345181560004,4.097713592198776
day_tree,1,25,0.0,0.55,1069.5383701939036,1133.2345181560004,4.097713592198776
day_tree,1,25,0.0,0.5,1069.5383701939036,1133.2345181560004,4.097713592198776
day_tree,1,40,0.01,0.55,1069.5383701939036,1133.2345181560004,4.097713592198776
day_tree,1,25,0.003,0.55,1069.5383701939036,1133.2345181560004,4.097713592198776
day_tree,1,40,0.001,0.5,1069.5383701939036,1133.2345181560004,4.097713592198776
day_tree,1,40,0.0,0.55,1069.5383701939036,1133.2345181560004,4.097713592198776
day_tree,1,40,0.0,0.5,1069.5383701939036,1133.2345181560004,4.097713592198776
day_tree,1,25,0.01,0.55,1069.5383701939036,1133.2345181560004,4.097713592198776
day_tree,1,40,0.001,0.55,1069.5383701939036,1133.2345181560004,4.097713592198776
day_tree,1,25,0.01,0.5,1069.5383701939036,1133.2345181560004,4.097713592198776
day_tree,1,40,0.003,0.5,1069.5383701939036,1133.2345181560004,4.097713592198776
day_tree,1,40,0.003,0.55,1069.5383701939036,1133.2345181560004,4.097713592198776
day_tree,1,25,0.003,0.5,1069.5383701939036,1133.2345181560004,4.097713592198776
day_tree,1,25,0.001,0.55,1069.5383701939036,1133.2345181560004,4.097713592198776
day_tree,1,25,0.001,0.5,1069.5383701939036,1133.2345181560004,4.097713592198776
day_tree,3,25,0.01,0.5,730.885240762501,805.9739911619981,3.1198747373209876
day_tree,3,25,0.003,0.5,730.885240762501,805.9739911619981,3.1198747373209876
day_tree,3,25,0.001,0.5,730.885240762501,805.9739911619981,3.1198747373209876
day_tree,3,25,0.0,0.5,730.885240762501,805.9739911619981,3.1198747373209876
day_tree,3,25,0.0,0.55,714.53255808976,786.6917713560001,3.1467708355549706
day_tree,3,25,0.001,0.55,714.53255808976,786.6917713560001,3.1467708355549706
day_tree,3,25,0.003,0.55,714.53255808976,786.6917713560001,3.1467708355549706
day_tree,3,25,0.01,0.55,714.53255808976,786.6917713560001,3.1467708355549706
day_tree,2,60,0.001,0.55,342.4889602336886,454.09191122400694,1.7518037406501752
day_tree,2,60,0.003,0.5,342.4889602336886,454.09191122400694,1.7518037406501752
day_tree,2,60,0.001,0.5,342.4889602336886,454.09191122400694,1.7518037406501752
day_tree,2,60,0.0,0.6,342.4889602336886,454.09191122400694,1.7518037406501752
day_tree,2,60,0.001,0.6,342.4889602336886,454.09191122400694,1.7518037406501752
day_tree,2,60,0.01,0.55,342.4889602336886,454.09191122400694,1.7518037406501752
day_tree,2,60,0.01,0.5,342.4889602336886,454.09191122400694,1.7518037406501752
day_tree,2,60,0.003,0.6,342.4889602336886,454.09191122400694,1.7518037406501752
day_tree,2,60,0.01,0.6,342.4889602336886,454.09191122400694,1.7518037406501752
day_tree,2,60,0.003,0.55,342.4889602336886,454.09191122400694,1.7518037406501752
day_tree,3,60,0.0,0.5,342.4889602336886,454.09191122400694,1.7518037406501752
day_tree,3,60,0.0,0.55,342.4889602336886,454.09191122400694,1.7518037406501752
