name,family,window_label,asset,asset_idx,lookback,feature_kind,mode,lag_signal,mean_pl,std_pl,sharpe,score,value,dvolume,top_n,z_window,entry_z,exit_z,top_k
ALGO_absolute_momentum_2_lag,single_asset_return,250-350,ALGO,0.0,2.0,absolute,momentum,True,-151.2933003540004,1036.0884134054713,-2.3088349297820345,-151.2933003540004,-15129.330035400038,8140501.770000002,,,,,
ALGO_absolute_momentum_2_lag,single_asset_return,300-400,ALGO,0.0,2.0,absolute,momentum,True,-110.25136711600004,1049.849214985084,-1.660454807497775,-110.25136711600004,-11025.136711600004,6741335.580000002,,,,,
ALGO_absolute_momentum_2_lag,single_asset_return,350-450,ALGO,0.0,2.0,absolute,momentum,True,68.93182432799978,1010.5076793273391,1.078574525490929,37.06796298887359,6893.182432799978,7532878.359999999,,,,,
ALGO_absolute_momentum_2_lag,single_asset_return,400-500,ALGO,0.0,2.0,absolute,momentum,True,2.75104844000045,980.2236817234559,0.04437547870991372,0.005406671398856104,275.104844000045,8132757.800000003,,,,,
ALGO_absolute_momentum_2_cur,single_asset_return,250-350,ALGO,0.0,2.0,absolute,momentum,False,-289.3701565700005,1006.0534321350108,-4.547814024642868,-289.3701565700005,-28937.015657000054,7941782.8500000015,,,,,
ALGO_absolute_momentum_2_cur,single_asset_return,300-400,ALGO,0.0,2.0,absolute,momentum,False,-66.7000823880006,1052.9717204008157,-1.0015662167388313,-66.7000823880006,-6670.008238800059,6947911.939999998,,,,,
ALGO_absolute_momentum_2_cur,single_asset_return,350-450,ALGO,0.0,2.0,absolute,momentum,False,-81.89767527599993,1009.967317960086,-1.2821364827334631,-81.89767527599993,-8189.767527599994,7741376.380000001,,,,,
ALGO_absolute_momentum_2_cur,single_asset_return,400-500,ALGO,0.0,2.0,absolute,momentum,False,-165.39108544200076,975.1808551342307,-2.681618142576474,-165.39108544200076,-16539.108544200077,8140927.210000002,,,,,
ALGO_absolute_reversal_2_lag,single_asset_return,250-350,ALGO,0.0,2.0,absolute,reversal,True,148.03709964600057,1035.5541151569896,2.260308786546123,123.8044590881782,14803.709964600057,8140501.770000002,,,,,
ALGO_absolute_reversal_2_lag,single_asset_return,300-400,ALGO,0.0,2.0,absolute,reversal,True,107.55483288400093,1049.2034576301974,1.62084028030385,77.9019023021876,10755.483288400093,6741335.580000002,,,,,
ALGO_absolute_reversal_2_lag,single_asset_return,350-450,ALGO,0.0,2.0,absolute,reversal,True,-71.94497567199942,1010.6233025180899,-1.1255924376671937,-71.94497567199942,-7194.497567199942,7532878.359999999,,,,,
ALGO_absolute_reversal_2_lag,single_asset_return,400-500,ALGO,0.0,2.0,absolute,reversal,True,-6.004151559999882,980.1534297481395,-0.09685623582081228,-6.004151559999882,-600.4151559999882,8132757.800000003,,,,,
ALGO_absolute_reversal_2_cur,single_asset_return,250-350,ALGO,0.0,2.0,absolute,reversal,False,286.1934434300008,1006.4147263761395,4.49627330029305,272.7042345752186,28619.344343000077,7941782.8500000015,,,,,
ALGO_absolute_reversal_2_cur,single_asset_return,300-400,ALGO,0.0,2.0,absolute,reversal,False,63.92091761200063,1053.3047104803272,0.9595309304641547,30.64089954196968,6392.091761200063,6947911.939999998,,,,,
ALGO_absolute_reversal_2_cur,single_asset_return,350-450,ALGO,0.0,2.0,absolute,reversal,False,78.80112472399952,1009.6843155138444,1.2340046907831215,47.5651418905671,7880.112472399953,7741376.380000001,,,,,
ALGO_absolute_reversal_2_cur,single_asset_return,400-500,ALGO,0.0,2.0,absolute,reversal,False,162.1347145579997,975.0672537799201,2.6291262669162663,141.6432501811962,16213.471455799969,8140927.210000002,,,,,
ALGO_relative_momentum_2_lag,single_asset_return,250-350,ALGO,0.0,2.0,relative,momentum,True,-64.59184672200004,1044.679892478126,-0.9776073770955525,-64.59184672200004,-6459.184672200005,7144233.610000002,,,,,
ALGO_relative_momentum_2_lag,single_asset_return,300-400,ALGO,0.0,2.0,relative,momentum,True,36.300961208000224,1054.5407086480243,0.5442830121649336,8.296232713414705,3630.0961208000226,7735693.960000001,,,,,
ALGO_relative_momentum_2_lag,single_asset_return,350-450,ALGO,0.0,2.0,relative,momentum,True,83.62609195999961,1009.3046958140737,1.3100549492588907,52.83869109276198,8362.609195999961,6542540.200000003,,,,,
ALGO_relative_momentum_2_lag,single_asset_return,400-500,ALGO,0.0,2.0,relative,momentum,True,-97.08464703400197,984.1105367209442,-1.5598278801277206,-97.08464703400197,-9708.464703400197,7542735.17,,,,,
ALGO_relative_momentum_2_cur,single_asset_return,250-350,ALGO,0.0,2.0,relative,momentum,False,-27.735948278001015,1046.1500220992186,-0.41919785771791435,-27.735948278001015,-2773.5948278001015,7148741.390000002,,,,,
ALGO_relative_momentum_2_cur,single_asset_return,300-400,ALGO,0.0,2.0,relative,momentum,False,-63.570608848001136,1053.4388504828223,-0.9541508560805368,-63.570608848001136,-6357.060884800114,7753544.239999997,,,,,
ALGO_relative_momentum_2_cur,single_asset_return,350-450,ALGO,0.0,2.0,relative,momentum,False,-73.55633114799959,1010.6225138503725,-1.1508032898805232,-73.55633114799959,-7355.633114799959,6359655.74,,,,,
ALGO_relative_momentum_2_cur,single_asset_return,400-500,ALGO,0.0,2.0,relative,momentum,False,-134.70059512199848,979.6344583247363,-2.1740797250747637,-134.70059512199848,-13470.059512199849,7543475.61,,,,,
ALGO_relative_reversal_2_lag,single_asset_return,250-350,ALGO,0.0,2.0,relative,reversal,True,61.73415327799914,1044.6603701045422,0.9343732152914488,28.775052168469813,6173.415327799914,7144233.610000002,,,,,
ALGO_relative_reversal_2_lag,single_asset_return,300-400,ALGO,0.0,2.0,relative,reversal,True,-39.39523879199871,1054.4242169183558,-0.5907427084377292,-39.39523879199871,-3939.523879199871,7735693.960000001,,,,,
ALGO_relative_reversal_2_lag,single_asset_return,350-450,ALGO,0.0,2.0,relative,reversal,True,-86.24310803999848,1009.5960312733806,-1.350662272089133,-86.24310803999848,-8624.310803999848,6542540.200000003,,,,,
ALGO_relative_reversal_2_lag,single_asset_return,400-500,ALGO,0.0,2.0,relative,reversal,True,94.0675529660027,984.2094054181916,1.5112013746947568,65.42099415291027,9406.75529660027,7542735.17,,,,,
ALGO_relative_reversal_2_cur,single_asset_return,250-350,ALGO,0.0,2.0,relative,reversal,False,24.876451721999036,1046.3443981013318,0.3759099187967193,3.0800164904346174,2487.6451721999038,7148741.390000002,,,,,
ALGO_relative_reversal_2_cur,single_asset_return,300-400,ALGO,0.0,2.0,relative,reversal,False,60.469191151999254,1053.2355782544946,0.9077758872584052,27.318259402814935,6046.919115199926,7753544.239999997,,,,,
ALGO_relative_reversal_2_cur,single_asset_return,350-450,ALGO,0.0,2.0,relative,reversal,False,71.01246885199886,1010.2474337834789,1.1114165517009762,39.24305958759256,7101.246885199886,6359655.74,,,,,
ALGO_relative_reversal_2_cur,single_asset_return,400-500,ALGO,0.0,2.0,relative,reversal,False,131.6832048779988,979.9221692454252,2.124754751317284,107.80411723523885,13168.32048779988,7543475.61,,,,,
ALGO_absolute_momentum_3_lag,single_asset_return,250-350,ALGO,0.0,3.0,absolute,momentum,True,-92.27231162199897,1042.9320879047773,-1.398895829739701,-92.27231162199897,-9227.231162199896,6541558.110000001,,,,,
ALGO_absolute_momentum_3_lag,single_asset_return,300-400,ALGO,0.0,3.0,absolute,momentum,True,-103.47881063199893,1050.3957687040463,-1.5576449416113487,-103.47881063199893,-10347.881063199893,5944553.16,,,,,
ALGO_absolute_momentum_3_lag,single_asset_return,350-450,ALGO,0.0,3.0,absolute,momentum,True,-25.80520816000062,1012.65510360536,-0.40291720739782194,-25.80520816000062,-2580.520816000062,5745040.8,,,,,
ALGO_absolute_momentum_3_lag,single_asset_return,400-500,ALGO,0.0,3.0,absolute,momentum,True,-22.346346737999994,988.4346412460021,-0.3574609292672832,-22.346346737999994,-2234.6346737999993,6742233.689999999,,,,,
ALGO_absolute_momentum_3_cur,single_asset_return,250-350,ALGO,0.0,3.0,absolute,momentum,False,-171.12384871000148,1032.6453521190103,-2.6201692710243556,-171.12384871000148,-17112.384871000148,6546243.550000004,,,,,
