window,min_recent_mean,train_score,test_score,test_mean,test_std,test_sharpe,full_score
20,-250.0,769.4949181749187,722.8811424379078,801.2011896260083,4169.7941165828415,3.038064413274875,750.8425720100412
20,0.0,632.2026885202898,603.9470473056635,688.4420891540067,4071.4921304203167,2.6735223464948925,620.8937338192043
20,250.0,617.121656296476,528.4752485106649,619.2949197160016,4059.24401026333,2.412250267195243,581.7765333330775
20,500.0,525.817142173952,276.66433919848566,383.223955790004,3760.4722344798543,1.6113143226062245,426.81929155896347
20,750.0,417.8850765275189,-271.804006537998,-271.804006537998,2733.686546885706,-1.5720890509531182,89.18253870557798
40,-250.0,864.1126676673374,797.0373669249658,873.1418976320117,4265.9989819376215,3.236190548485122,837.5042000692997
40,0.0,825.2991147364584,797.0373669249658,873.1418976320117,4265.9989819376215,3.236190548485122,814.1987720309498
40,250.0,669.7457275209596,658.7479895037957,742.4289489220106,4183.8737976171815,2.805732908071313,665.5529165404515
40,500.0,661.7783200815717,221.39309604134357,332.8305953740119,3733.592266794052,1.409504146626512,487.52749832619077
40,750.0,554.9653096918303,52.401068836809145,143.926198096002,3007.5299467781506,0.7566584689198587,348.76597276649346
60,-250.0,797.960162832176,797.0373669249658,873.1418976320117,4265.9989819376215,3.236190548485122,797.7896845217626
60,0.0,657.8520713313751,701.190136506061,782.1301668000082,4201.581802524558,2.943311436099283,675.4123481499989
60,250.0,598.7028903594603,453.80716197500703,547.4729743820079,3932.6705782235244,2.201127099255042,541.0932113521874
60,500.0,574.6942777316531,394.0839486269918,487.52145941800205,3753.4444979742498,2.0536845833237756,502.6860812001097
60,750.0,512.1555028223357,264.7192271533909,356.47794673400233,3318.437185011072,1.698513764839981,413.5383593066033
100,-250.0,846.3341949887315,797.0373669249658,873.1418976320117,4265.9989819376215,3.236190548485122,826.8190247609373
100,0.0,846.3341949887315,797.0373669249658,873.1418976320117,4265.9989819376215,3.236190548485122,826.8190247609373
100,250.0,458.9997571481829,797.0373669249658,873.1418976320117,4265.9989819376215,3.236190548485122,595.4008803420465
100,500.0,306.6462722414709,711.0214407692837,792.1510962520098,4230.83900213747,2.9604077511458904,469.98542768012993
100,750.0,354.9738773984152,-335.50682982000467,-335.50682982000467,2420.668868107175,-2.191472296670072,40.78447584324233
150,-250.0,846.3341949887315,797.0373669249658,873.1418976320117,4265.9989819376215,3.236190548485122,826.8190247609373
150,0.0,573.836845734342,797.0373669249658,873.1418976320117,4265.9989819376215,3.236190548485122,663.8478322747441
150,250.0,519.3118506792609,797.0373669249658,873.1418976320117,4265.9989819376215,3.236190548485122,631.2293153688507
150,500.0,221.77559256613816,797.0373669249658,873.1418976320117,4265.9989819376215,3.236190548485122,454.5476616283711
150,750.0,-63.79161209066864,154.29182776609008,250.45392103200803,3126.2833090737136,1.2666875664825104,6.775883480631152
