asset_idx,asset,variant,full_mean_pl,full_std_pl,full_sharpe,full_score,full_worst_day,full_q05,full_q95,roll_mean_score,roll_median_score,roll_min_score,roll_neg_count,roll_mean_std,roll_mean_worst_day
0,ALGO,raw,166.50524075920035,818.5847879300733,3.2161347909066906,151.82679907421118,-2227.7051928,-1230.5264452500041,1634.6364487199965,85.03793210360504,88.0658224415357,-46.33814646599931,3,838.9524206239132,-2206.4800608533387
0,ALGO,gate20,133.37506207199993,779.0616412577035,2.7069037729348335,117.35851252614994,-2227.7051928,-1230.5264452500041,1534.101876299991,67.2973390397297,40.695357968382915,0.04062996965541381,0,697.5349796914536,-2206.349305546668
0,ALGO,gate20_loose,166.50524075920035,818.5847879300733,3.2161347909066906,151.82679907421118,-2227.7051928,-1230.5264452500041,1634.6364487199965,81.34087412144663,88.0658224415357,-37.090117823999606,3,816.6440931973464,-2206.4800608533387
1,AENO,raw,9.061654131999902,159.8650699201781,0.8962391359195502,4.03645999665402,-414.9996200000005,-250.27503740000046,299.9492227499994,5.036121511203271,3.470512709752907,-11.123338329999951,6,163.8339030673429,-427.41663553333393
1,AENO,gate20,2.020349451999908,128.67027985944404,0.24826657503083877,0.11729709151058804,-414.9996200000005,-218.73081449999944,256.3888356499995,1.6653525858761937,0.7683442518181857,-15.59117057999998,6,131.67223654870668,-423.7070088666676
1,AENO,gate20_loose,9.061654131999902,159.8650699201781,0.8962391359195502,4.03645999665402,-414.9996200000005,-250.27503740000046,299.9492227499994,5.036121511203271,3.470512709752907,-11.123338329999951,6,163.8339030673429,-427.41663553333393
2,LSST,raw,10.00822626000009,193.7521044313821,0.8167341049737431,4.0046878812074596,-603.8489979999995,-344.25676664999935,341.08171734999934,6.018638430727457,1.677276638523746,-25.65137842000001,5,187.03520939784354,-522.0884600666669
2,LSST,gate20,3.7551208080000396,158.09418189975787,0.37555887571818813,0.4641703590128659,-568.0669860000016,-293.30366780000065,271.73336580000006,6.513546406507075,1.187916705020892,-12.984690669999974,6,146.7797993383829,-508.7407211333336
2,LSST,gate20_loose,10.00822626000009,193.7521044313821,0.8167341049737431,4.0046878812074596,-603.8489979999995,-344.25676664999935,341.08171734999934,6.018638430727457,1.677276638523746,-25.65137842000001,5,187.03520939784354,-522.0884600666669
3,SRNA,raw,15.414296332000035,132.9982671048986,1.8325157913318313,11.877377406018386,-343.4257090000001,-225.76065164999983,240.19856645000021,5.724898563954112,1.274518864847901,-18.3501322899999,3,134.84235843938944,-324.9960418666662
3,SRNA,gate20,9.839111095999971,115.75425049939228,1.3439679787378034,6.332968967219938,-343.425709000001,-210.4493770500002,205.4864213999995,4.0909808494164235,0.8323099927140871,-7.761175989999977,7,107.46085926384663,-269.73022526666716
3,SRNA,gate20_loose,15.414296332000035,132.9982671048986,1.8325157913318313,11.877377406018386,-343.4257090000001,-225.76065164999983,240.19856645000021,5.724898563954112,1.274518864847901,-18.3501322899999,3,134.84235843938944,-324.9960418666662
4,ELLT,raw,13.225100884000007,148.51779733393818,1.4079605888886146,8.790649028060773,-540.4845159999986,-228.02302260000087,255.98605910000032,-2.5183466462876054,2.150942396543894,-32.10893340999992,7,147.60361811339388,-386.3624921333329
4,ELLT,gate20,-0.6941376119999623,121.56609365145155,-0.09028240513360845,-0.6941376119999623,-540.4845159999986,-202.9251389,212.0754741000013,-4.725578011081875,-4.493916220000083,-13.258227060000058,13,95.06941210692804,-374.2783695999991
4,ELLT,gate20_loose,13.225100884000007,148.51779733393818,1.4079605888886146,8.790649028060773,-540.4845159999986,-228.02302260000087,255.98605910000032,-2.5183466462876054,2.150942396543894,-32.10893340999992,7,147.60361811339388,-386.3624921333329
5,AMRP,raw,0.48356834799993476,226.6739295984274,0.03373077324670272,0.0005495618999934884,-840.9582550000014,-368.87295644999944,375.14544389999907,-1.8637557980233206,-2.0237583200001064,-28.224131990000068,9,231.33364169695864,-598.2919586000004
5,AMRP,gate20,7.2865496159999505,160.57122702186217,0.7175037987113311,2.4763480507525006,-583.284271999999,-259.3216304999999,272.69484800000015,0.6236868666508408,0.07035207520986048,-4.965103060000039,6,168.86090032249533,-494.74835966666603
5,AMRP,gate20_loose,0.48356834799993476,226.6739295984274,0.03373077324670272,0.0005495618999934884,-840.9582550000014,-368.87295644999944,375.14544389999907,-1.8637557980233206,-2.0237583200001064,-28.224131990000068,9,231.33364169695864,-598.2919586000004
6,OTCS,raw,13.79030436000003,234.68304371999412,0.9290993229272532,6.388997338311283,-758.654344999999,-372.1055140000014,411.4856626499983,-1.2622792821562254,-4.22354954999997,-35.82318923999992,9,233.01506597163058,-631.0555316666664
