name,variant,window,mean_pl,std_pl,sharpe,score,value,dvolume
base,normal,250-350,1470.428769338001,4332.921215604466,5.365784209738691,1421.0716758653627,147042.87693380011,41214177.83000002
base,normal,300-400,648.5696927400003,4495.835143857998,2.2809526870840626,544.0079743499555,64856.96927400003,38277551.219999984
base,normal,350-450,535.1032788040034,4111.939772032574,2.057599622389784,432.86172466995146,53510.327880400335,39302650.42
base,normal,400-500,873.1418976320117,4265.9989819376215,3.236190548485122,797.0373669249658,87314.18976320117,42861215.80000001
base,regime40_m250,250-350,1470.428769338001,4332.921215604466,5.365784209738691,1421.0716758653627,147042.87693380011,41214177.83000002
base,regime40_m250,300-400,673.1832101780002,4485.300685094584,2.373076384623068,571.6701180762926,67318.32101780002,38270829.34999999
base,regime40_m250,350-450,559.7167962420043,4101.100205908244,2.1579330324911203,460.7687748439798,55971.679624200435,39295928.550000004
base,regime40_m250,400-500,873.1418976320117,4265.9989819376215,3.236190548485122,797.0373669249658,87314.18976320117,42861215.80000001
base,hold2_decay075,250-350,1127.1085977219982,5221.885488976324,3.412781021993169,1037.9884921052644,112710.85977219982,34303874.55
base,hold2_decay075,300-400,623.5290063739964,5098.620384198259,1.9336327268396254,491.9532540897192,62352.90063739964,33084403.65
base,hold2_decay075,350-450,558.0273009040009,5062.608066655127,1.7428144191484674,419.8128533114714,55802.73009040009,36747720.28000003
base,hold2_decay075,400-500,1032.5639390659985,5048.811871420621,3.2336854297218074,942.4365895606678,103256.39390659984,38467291.950000025
base,dispersion_max_q90,250-350,832.0682817579963,2978.657630755543,4.416806604373969,791.4957756551618,83206.82817579963,31772970.21
base,dispersion_max_q90,300-400,187.862177603998,3313.0201381370443,0.8965722251265309,83.7165799666321,18786.2177603998,32023832.78
base,dispersion_max_q90,350-450,526.5551715839921,3506.334951668025,2.374436097660981,447.23016508925525,52655.517158399205,36233480.599999994
base,dispersion_max_q90,400-500,851.843933481999,3257.821484420671,4.134307318068272,804.7612155204575,85184.3933481999,37567085.95
robust_excl,normal,250-350,1444.197438568016,4302.582097517221,5.307223887129736,1394.6820277397123,144419.7438568016,40449808.59999999
robust_excl,normal,300-400,660.5016624900081,4461.093672454437,2.3410062701586996,558.5772752136407,66050.16624900082,37564981.47
robust_excl,normal,350-450,539.3361704840078,4074.1539483185697,2.093110305694543,439.10850460607975,53933.617048400774,38573958.739999995
robust_excl,normal,400-500,893.9708434720104,4189.441086697,3.3739393497262973,821.7801667772729,89397.08434720105,42066169.96
robust_excl,regime40_m250,250-350,1444.197438568016,4302.582097517221,5.307223887129736,1394.6820277397123,144419.7438568016,40449808.59999999
robust_excl,regime40_m250,300-400,660.5016624900081,4461.093672454437,2.3410062701586996,558.5772752136407,66050.16624900082,37564981.47
robust_excl,regime40_m250,350-450,539.3361704840078,4074.1539483185697,2.093110305694543,439.10850460607975,53933.617048400774,38573958.739999995
robust_excl,regime40_m250,400-500,893.9708434720104,4189.441086697,3.3739393497262973,821.7801667772729,89397.08434720105,42066169.96
robust_excl,hold2_decay075,250-350,1100.7085477820149,5151.0062881541635,3.3787049134575526,1012.0535983188859,110070.8547782015,33667324.49000001
robust_excl,hold2_decay075,300-400,619.8026968940092,5045.91196840173,1.9421545940295666,489.9185158264676,61980.26968940091,32469813.13
robust_excl,hold2_decay075,350-450,573.483800214011,5021.52097554217,1.8057427408131348,438.8855232280001,57348.3800214011,36065620.97
robust_excl,hold2_decay075,400-500,1074.516449356007,4978.192172934101,3.412804533497193,989.5558656616679,107451.64493560069,37753181.66
robust_excl,dispersion_max_q90,250-350,803.3118438180053,2957.895724609148,4.294091702962279,761.9875675880805,80331.18438180053,31185208.150000002
robust_excl,dispersion_max_q90,300-400,176.79879866400384,3261.4163134178575,0.8571228534358463,74.8774764040467,17679.879866400384,31428711.720000006
robust_excl,dispersion_max_q90,350-450,512.8890086939987,3462.739297465538,2.341928333337198,433.79596226113495,51288.90086939986,35561543.49000001
robust_excl,dispersion_max_q90,400-500,845.0991076620052,3202.6409893489626,4.17224103119196,799.1887593816731,84509.91076620051,36871411.77000001
