kind,max_depth,min_samples_leaf,ccp_alpha,prob_threshold,train_val_score,train_val_mean,train_val_sharpe
asset_tree,1,1000,0.0,0.5,1581.26580155026,1633.9486294360074,5.478578638671273
asset_tree,2,1000,0.003,0.5,1581.26580155026,1633.9486294360074,5.478578638671273
asset_tree,1,1000,0.001,0.5,1581.26580155026,1633.9486294360074,5.478578638671273
asset_tree,2,1000,0.001,0.5,1581.26580155026,1633.9486294360074,5.478578638671273
asset_tree,2,1000,0.0,0.5,1581.26580155026,1633.9486294360074,5.478578638671273
asset_tree,1,1000,0.003,0.5,1581.26580155026,1633.9486294360074,5.478578638671273
asset_tree,3,1000,0.003,0.5,1269.6175805870478,1314.9439958240068,5.292498909878298
asset_tree,3,1000,0.0,0.5,1269.6175805870478,1314.9439958240068,5.292498909878298
asset_tree,3,1000,0.0,0.55,1269.6175805870478,1314.9439958240068,5.292498909878298
asset_tree,3,1000,0.001,0.5,1269.6175805870478,1314.9439958240068,5.292498909878298
asset_tree,3,1000,0.001,0.55,1269.6175805870478,1314.9439958240068,5.292498909878298
asset_tree,3,1000,0.003,0.55,1269.6175805870478,1314.9439958240068,5.292498909878298
asset_tree,1,2000,0.001,0.5,1069.5383701939036,1133.2345181560004,4.097713592198776
asset_tree,1,2000,0.0,0.5,1069.5383701939036,1133.2345181560004,4.097713592198776
asset_tree,1,2000,0.003,0.5,1069.5383701939036,1133.2345181560004,4.097713592198776
asset_tree,2,2000,0.003,0.5,1069.5383701939036,1133.2345181560004,4.097713592198776
asset_tree,3,2000,0.003,0.5,1069.5383701939036,1133.2345181560004,4.097713592198776
asset_tree,3,2000,0.0,0.5,794.0223791182171,854.2625733880024,3.6305564148587126
asset_tree,3,2000,0.001,0.5,794.0223791182171,854.2625733880024,3.6305564148587126
asset_tree,2,1000,0.0,0.55,505.80345680982134,554.2998652219991,3.2295060936343627
asset_tree,2,1000,0.001,0.55,505.80345680982134,554.2998652219991,3.2295060936343627
asset_tree,2,2000,0.0,0.55,332.5152862745641,384.0638880319955,2.539787391402066
asset_tree,3,2000,0.0,0.55,332.5152862745641,384.0638880319955,2.539787391402066
asset_tree,3,2000,0.001,0.55,332.5152862745641,384.0638880319955,2.539787391402066
asset_tree,2,2000,0.001,0.55,332.5152862745641,384.0638880319955,2.539787391402066
asset_tree,2,2000,0.001,0.5,332.5152862745641,384.0638880319955,2.539787391402066
asset_tree,2,2000,0.0,0.5,332.5152862745641,384.0638880319955,2.539787391402066
asset_tree,1,1000,0.0,0.55,0.0,0.0,0.0
asset_tree,3,1000,0.001,0.6,0.0,0.0,0.0
asset_tree,3,2000,0.003,0.55,0.0,0.0,0.0
asset_tree,1,1000,0.0,0.6,0.0,0.0,0.0
asset_tree,3,2000,0.001,0.6,0.0,0.0,0.0
asset_tree,1,1000,0.001,0.55,0.0,0.0,0.0
asset_tree,1,1000,0.001,0.6,0.0,0.0,0.0
asset_tree,3,2000,0.0,0.6,0.0,0.0,0.0
asset_tree,1,1000,0.003,0.55,0.0,0.0,0.0
asset_tree,1,1000,0.003,0.6,0.0,0.0,0.0
asset_tree,3,1000,0.003,0.6,0.0,0.0,0.0
asset_tree,1,2000,0.0,0.55,0.0,0.0,0.0
asset_tree,1,2000,0.0,0.6,0.0,0.0,0.0
asset_tree,1,2000,0.001,0.55,0.0,0.0,0.0
asset_tree,2,1000,0.003,0.6,0.0,0.0,0.0
asset_tree,1,2000,0.001,0.6,0.0,0.0,0.0
asset_tree,3,1000,0.0,0.6,0.0,0.0,0.0
asset_tree,1,2000,0.003,0.55,0.0,0.0,0.0
asset_tree,1,2000,0.003,0.6,0.0,0.0,0.0
asset_tree,2,2000,0.003,0.6,0.0,0.0,0.0
asset_tree,2,2000,0.003,0.55,0.0,0.0,0.0
asset_tree,2,1000,0.0,0.6,0.0,0.0,0.0
asset_tree,2,2000,0.001,0.6,0.0,0.0,0.0
asset_tree,2,1000,0.001,0.6,0.0,0.0,0.0
asset_tree,2,1000,0.003,0.55,0.0,0.0,0.0
asset_tree,2,2000,0.0,0.6,0.0,0.0,0.0
asset_tree,3,2000,0.003,0.6,0.0,0.0,0.0
