portfolio,n_signals,full_mean_pl,full_std_pl,full_sharpe,full_score,full_worst_day,roll_mean_score,roll_median_score,roll_min_score,roll_neg_count,roll_positive_count,signals
market0.50_stable_top20_0.50,20,901.4246262327989,3085.9739509308342,4.618566136959431,861.0583889984327,-8918.628918800037,670.9175972286001,629.3259557427345,379.78996419881634,0,15,NAYO_market_spread_z_w60_reversal_e1.0;ULXY_own_z_l2_v20_reversal_e0.5;ELLT_lead1_GARI_corr+1;CCNS_lead1_CUBO_corr-1;SRNA_absolute_return_w10_momentum_lag;MTNS_lead2_FCSG_corr+1;HETT_lead2_DIHO_corr-1;BLBT_own_z_l5_v40_reversal_e0.5;MDGI_own_z_l5_v60_reversal_e1.0;CCNS_lead2_CTGI_corr-1;RTTH_relative_return_w20_reversal_cur;EELT_market_spread_z_w60_reversal_e1.0;MTNS_lead10_ALUT_corr-1;DUCT_absolute_return_w60_momentum_lag;ULXY_lead2_AENO_corr-1;FWWG_absolute_return_w20_reversal_cur;MTNS_absolute_return_w60_reversal_lag;NGTE_relative_return_w5_reversal_lag;NPCK_relative_return_w5_momentum_lag;ALGO_absolute_return_w2_reversal_cur
market0.50_low_corr_top20_0.50,20,867.391633388,2849.589319516549,4.81285700731288,831.4949996083471,-8322.441314200114,658.0775760949742,615.7625331468535,381.5792328520907,0,15,NAYO_market_spread_z_w60_reversal_e1.0;ULXY_own_z_l2_v20_reversal_e0.5;ELLT_lead1_GARI_corr+1;CCNS_lead1_CUBO_corr-1;SRNA_absolute_return_w10_momentum_lag;MTNS_lead2_FCSG_corr+1;HETT_lead2_DIHO_corr-1;BLBT_own_z_l5_v40_reversal_e0.5;MDGI_own_z_l5_v60_reversal_e1.0;CCNS_lead2_CTGI_corr-1;RTTH_relative_return_w20_reversal_cur;EELT_market_spread_z_w60_reversal_e1.0;MTNS_lead10_ALUT_corr-1;DUCT_absolute_return_w60_momentum_lag;ULXY_lead2_AENO_corr-1;FWWG_absolute_return_w20_reversal_cur;MTNS_absolute_return_w60_reversal_lag;NGTE_relative_return_w5_reversal_lag;NPCK_relative_return_w5_momentum_lag;HUXZ_own_z_l5_v60_momentum_e0.5
market0.50_stable_top15_0.50,15,842.1782030359974,2899.340569760775,4.5927707581473,804.0594552187761,-8661.281035199965,619.2321511861315,577.3684851923998,327.84990879974237,0,15,NAYO_market_spread_z_w60_reversal_e1.0;ULXY_own_z_l2_v20_reversal_e0.5;ELLT_lead1_GARI_corr+1;CCNS_lead1_CUBO_corr-1;SRNA_absolute_return_w10_momentum_lag;MTNS_lead2_FCSG_corr+1;HETT_lead2_DIHO_corr-1;BLBT_own_z_l5_v40_reversal_e0.5;MDGI_own_z_l5_v60_reversal_e1.0;CCNS_lead2_CTGI_corr-1;RTTH_relative_return_w20_reversal_cur;EELT_market_spread_z_w60_reversal_e1.0;MTNS_lead10_ALUT_corr-1;DUCT_absolute_return_w60_momentum_lag;ULXY_lead2_AENO_corr-1
market0.50_low_corr_top15_0.50,15,842.1782030359974,2899.340569760775,4.5927707581473,804.0594552187761,-8661.281035199965,619.2321511861315,577.3684851923998,327.84990879974237,0,15,NAYO_market_spread_z_w60_reversal_e1.0;ULXY_own_z_l2_v20_reversal_e0.5;ELLT_lead1_GARI_corr+1;CCNS_lead1_CUBO_corr-1;SRNA_absolute_return_w10_momentum_lag;MTNS_lead2_FCSG_corr+1;HETT_lead2_DIHO_corr-1;BLBT_own_z_l5_v40_reversal_e0.5;MDGI_own_z_l5_v60_reversal_e1.0;CCNS_lead2_CTGI_corr-1;RTTH_relative_return_w20_reversal_cur;EELT_market_spread_z_w60_reversal_e1.0;MTNS_lead10_ALUT_corr-1;DUCT_absolute_return_w60_momentum_lag;ULXY_lead2_AENO_corr-1
market0.25_low_corr_top30_0.75,30,795.738244440001,1646.8667423087331,7.639796253965788,782.3344153218576,-4933.700431200035,741.8780093335539,720.2224661496942,623.0253805684133,0,15,NAYO_market_spread_z_w60_reversal_e1.0;ULXY_own_z_l2_v20_reversal_e0.5;ELLT_lead1_GARI_corr+1;CCNS_lead1_CUBO_corr-1;SRNA_absolute_return_w10_momentum_lag;MTNS_lead2_FCSG_corr+1;HETT_lead2_DIHO_corr-1;BLBT_own_z_l5_v40_reversal_e0.5;MDGI_own_z_l5_v60_reversal_e1.0;CCNS_lead2_CTGI_corr-1;RTTH_relative_return_w20_reversal_cur;EELT_market_spread_z_w60_reversal_e1.0;MTNS_lead10_ALUT_corr-1;DUCT_absolute_return_w60_momentum_lag;ULXY_lead2_AENO_corr-1;FWWG_absolute_return_w20_reversal_cur;MTNS_absolute_return_w60_reversal_lag;NGTE_relative_return_w5_reversal_lag;NPCK_relative_return_w5_momentum_lag;HUXZ_own_z_l5_v60_momentum_e0.5;AMRP_absolute_return_w10_reversal_lag;ACAC_absolute_return_w2_reversal_cur;EAFC_absolute_return_w2_reversal_lag;RRES_relative_return_w10_momentum_lag;NWIG_absolute_return_w40_momentum_cur;SRNA_lead2_LSST_corr-1;BENI_absolute_return_w10_reversal_lag;MTNS_lead1_ELLT_corr+1;ANSO_absolute_return_w10_reversal_cur;HTRK_own_z_l2_v60_reversal_e1.0
stable_top30,30,784.324888817599,1651.3785801341255,7.5096440757409315,770.659443246641,-3885.5653356000257,805.8405053596209,807.4312467732587,659.5817463374287,0,15,NAYO_market_spread_z_w60_reversal_e1.0;ULXY_own_z_l2_v20_reversal_e0.5;ELLT_lead1_GARI_corr+1;CCNS_lead1_CUBO_corr-1;SRNA_absolute_return_w10_momentum_lag;MTNS_lead2_FCSG_corr+1;HETT_lead2_DIHO_corr-1;BLBT_own_z_l5_v40_reversal_e0.5;MDGI_own_z_l5_v60_reversal_e1.0;CCNS_lead2_CTGI_corr-1;RTTH_relative_return_w20_reversal_cur;EELT_market_spread_z_w60_reversal_e1.0;MTNS_lead10_ALUT_corr-1;DUCT_absolute_return_w60_momentum_lag;ULXY_lead2_AENO_corr-1;FWWG_absolute_return_w20_reversal_cur;MTNS_absolute_return_w60_reversal_lag;NGTE_relative_return_w5_reversal_lag;NPCK_relative_return_w5_momentum_lag;ALGO_absolute_return_w2_reversal_cur;HUXZ_own_z_l5_v60_momentum_e0.5;AMRP_absolute_return_w10_reversal_lag;ACAC_absolute_return_w2_reversal_cur;EAFC_absolute_return_w2_reversal_lag;RRES_relative_return_w10_momentum_lag;NWIG_absolute_return_w40_momentum_cur;SRNA_lead2_LSST_corr-1;BENI_absolute_return_w10_reversal_lag;MTNS_lead1_ELLT_corr+1;ANSO_absolute_return_w10_reversal_cur
market0.50_stable_top10_0.50,10,801.8091790079977,2919.7042287918466,4.342123475198942,761.4239813611539,-8781.621534199949,568.4299900660767,528.4176524018372,290.88008420549033,0,15,NAYO_market_spread_z_w60_reversal_e1.0;ULXY_own_z_l2_v20_reversal_e0.5;ELLT_lead1_GARI_corr+1;CCNS_lead1_CUBO_corr-1;SRNA_absolute_return_w10_momentum_lag;MTNS_lead2_FCSG_corr+1;HETT_lead2_DIHO_corr-1;BLBT_own_z_l5_v40_reversal_e0.5;MDGI_own_z_l5_v60_reversal_e1.0;CCNS_lead2_CTGI_corr-1
market0.50_low_corr_top10_0.50,10,801.8091790079977,2919.7042287918466,4.342123475198942,761.4239813611539,-8781.621534199949,568.4299900660767,528.4176524018372,290.88008420549033,0,15,NAYO_market_spread_z_w60_reversal_e1.0;ULXY_own_z_l2_v20_reversal_e0.5;ELLT_lead1_GARI_corr+1;CCNS_lead1_CUBO_corr-1;SRNA_absolute_return_w10_momentum_lag;MTNS_lead2_FCSG_corr+1;HETT_lead2_DIHO_corr-1;BLBT_own_z_l5_v40_reversal_e0.5;MDGI_own_z_l5_v60_reversal_e1.0;CCNS_lead2_CTGI_corr-1
market0.50_stable_top5_0.50,5,758.7564076999982,2939.7768416422687,4.0809193466517035,715.7768796037203,-8617.442380200038,501.7485269594105,479.22223198350815,183.27433648203427,0,15,NAYO_market_spread_z_w60_reversal_e1.0;ULXY_own_z_l2_v20_reversal_e0.5;ELLT_lead1_GARI_corr+1;CCNS_lead1_CUBO_corr-1;SRNA_absolute_return_w10_momentum_lag
market0.50_low_corr_top5_0.50,5,758.7564076999982,2939.7768416422687,4.0809193466517035,715.7768796037203,-8617.442380200038,501.7485269594105,479.22223198350815,183.27433648203427,0,15,NAYO_market_spread_z_w60_reversal_e1.0;ULXY_own_z_l2_v20_reversal_e0.5;ELLT_lead1_GARI_corr+1;CCNS_lead1_CUBO_corr-1;SRNA_absolute_return_w10_momentum_lag
