name,long_mult,short_mult,train_score,test_score,full_score,full_mean,full_std,full_sharpe,cv_mean_score,cv_min_score
base,0.0,0.5,360.2310034082747,457.88577913041536,399.76050403297023,448.3090607424022,2470.220607659208,2.8695366787101766,380.36631006419066,183.02921510353713
base,0.0,0.75,502.2914449103712,622.6747206671313,551.0121078471263,615.4505930488021,3327.785224449931,2.924205635382179,527.8854309727418,273.71073724388333
base,0.0,1.0,530.0348406054752,638.3551873262312,573.86310936273,637.4752899096012,3355.825326412686,3.0035440943903713,552.7564637160172,303.8650469891647
base,0.0,1.25,544.7858324435553,638.3551873262312,582.6484312582653,645.8659625296006,3363.7822706760953,3.0358794660630557,564.0543360040698,326.25833574791136
base,0.25,0.5,475.24116757003003,509.988229594732,489.32992219272086,536.9925084256032,2649.879629239328,3.2041444342125187,465.24171598590897,232.5194259291678
base,0.25,0.75,618.8404369084459,676.4059818060884,642.1566663102726,704.1340407320009,3458.7680142254153,3.2188735087362548,614.4150959314234,325.31014039788005
base,0.25,1.0,646.3338001993914,692.0985696133172,664.8987563433669,726.1587375928005,3485.075902950416,3.294498624379683,639.2448970783926,353.5693831218381
base,0.25,1.25,660.9476127705932,692.0985696133172,673.6357692335198,734.5494102127999,3492.4944813573634,3.325487273644906,650.5015119281635,366.14725365527653
base,0.5,0.5,579.6742626813568,551.2496806947056,568.4514673948098,626.274675238403,3158.1972383248944,3.13541914134223,539.3506085108492,257.23399144412326
base,0.5,0.75,726.7799762089004,721.5068736830075,724.861064003134,793.4162075447985,3858.0131916607443,3.251676735784298,692.2583666363696,354.2883477080081
base,0.5,1.0,754.2846470420737,737.345725438343,747.6943876792342,815.4409044055999,3881.002495458019,3.322144933180475,717.1869658109762,382.73875785237567
base,0.5,1.25,768.8955507937352,737.345725438343,756.457025315354,823.8315770255994,3887.444954334833,3.3507666634151767,728.4662381123962,395.37974457163364
base,0.75,0.5,660.7552530459608,586.1140019560563,631.1174919960456,699.8046394744003,3650.3075235824203,3.0312193747997735,601.0767761515393,283.97783194858715
base,0.75,0.75,810.5947867528304,759.4749199688634,790.353264409781,866.9461717808042,4267.227423774924,3.2123018523883786,756.9474516713882,384.4075483640253
base,0.75,1.0,838.1710251572715,775.4454081633551,813.295085924683,888.9708686416066,4287.576880890171,3.2782767476138943,781.9747526181673,413.0230003447394
base,0.75,1.25,852.8129723932351,775.4454081633551,822.0923455050304,897.3615412616059,4293.246185248382,3.304849329134929,793.2817466594636,425.719244812306
base,1.0,0.5,668.7386138260977,607.6372876699402,644.4914518333552,713.3910588719975,3688.055585159302,3.0584417131789783,617.6378375452898,303.3749077080954
base,1.0,0.75,818.7567793135219,781.0801719430393,803.8847078258347,880.5325911784032,4299.011817943849,3.2385216185162977,773.727482359392,404.25529059197453
