experiment,asset_idx,asset,mean_pl,std_pl,sharpe,score,value,dvolume,excluded,full_score,full_mean,full_std,full_sharpe,cv_mean_score,cv_min_score,cv_mean_pl,cv_mean_sharpe
base_attribution,0,ALGO,166.50524075920026,818.5847879300733,3.216134790906689,151.8267990742111,0.0,0.0,,,,,,,,,
base_attribution,1,AENO,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
base_attribution,2,LSST,10.008226260000036,193.75210443138215,0.8167341049737384,4.004687881207412,0.0,0.0,,,,,,,,,
base_attribution,3,SRNA,15.41429633199999,132.99826710489864,1.8325157913318253,11.877377406018335,0.0,0.0,,,,,,,,,
base_attribution,4,ELLT,13.225100883999987,148.51779733393826,1.4079605888886118,8.790649028060747,0.0,0.0,,,,,,,,,
base_attribution,5,AMRP,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
base_attribution,6,OTCS,13.790304360000011,234.683043719994,0.9290993229272523,6.388997338311267,0.0,0.0,,,,,,,,,
base_attribution,7,HETT,6.092425523999981,121.51043110243778,0.792769022214351,2.3512587068674806,0.0,0.0,,,,,,,,,
base_attribution,8,HUXZ,25.56499456799998,190.63258072364687,2.120403839097902,20.9135259448445,0.0,0.0,,,,,,,,,
base_attribution,9,DUCT,27.333325923999954,171.77686821317843,2.5159256553768947,23.60429914235669,0.0,0.0,,,,,,,,,
base_attribution,10,SMAH,5.230071511999972,181.18513875764313,0.45640990251422836,0.9016528811526944,0.0,0.0,,,,,,,,,
base_attribution,11,NPCK,11.390830595999955,157.25403821852524,1.1453114187896793,6.463442897301759,0.0,0.0,,,,,,,,,
base_attribution,12,MSDP,14.561662748,189.11026176069606,1.2174913295074539,8.695429844917522,0.0,0.0,,,,,,,,,
base_attribution,13,EORC,11.597420304000003,194.05163203224407,0.9449614713064742,5.470788890525821,0.0,0.0,,,,,,,,,
base_attribution,14,CUBO,16.42573988000001,137.046323967533,1.8950800273404773,12.848182630579233,0.0,0.0,,,,,,,,,
base_attribution,15,HRET,25.251370431999995,192.65930632159075,2.0723588735562988,20.482165887017437,0.0,0.0,,,,,,,,,
base_attribution,16,ANSO,13.435858871999992,172.62973695694131,1.2306082690347366,8.092287267385348,0.0,0.0,,,,,,,,,
base_attribution,17,DIHO,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
base_attribution,18,RTTH,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
base_attribution,19,SPLZ,9.31167568400001,203.0112853956099,0.725233179447745,3.209512866319914,0.0,0.0,,,,,,,,,
base_attribution,20,NWIG,23.218873568000067,173.6146667540975,2.1145830174116838,18.97524062687812,0.0,0.0,,,,,,,,,
base_attribution,21,MMBT,30.66421317999996,327.3758117272993,1.481000624238675,21.061729957760704,0.0,0.0,,,,,,,,,
base_attribution,22,MDGI,19.38880634400002,190.87522723877552,1.6060960357695586,13.972249440355952,0.0,0.0,,,,,,,,,
base_attribution,23,AGVF,7.575784343999975,163.56391277521888,0.732335549535536,2.6446454935535204,0.0,0.0,,,,,,,,,
base_attribution,24,RRES,25.10453903199997,205.7762446034998,1.9289768627736052,19.786853016565992,0.0,0.0,,,,,,,,,
base_attribution,25,CTGI,9.243684335999976,264.0188262432619,0.5535797747704576,2.1682659702066007,0.0,0.0,,,,,,,,,
base_attribution,26,ALUT,22.112477671999898,173.75084254814922,2.012243311388829,17.733008793869356,0.0,0.0,,,,,,,,,
base_attribution,27,ACAC,20.46498573200001,169.2918863356918,1.9113723816521795,16.06707660366362,0.0,0.0,,,,,,,,,
base_attribution,28,SRTX,18.33339358000003,161.7676738949518,1.7919303516336735,13.979717267507779,0.0,0.0,,,,,,,,,
base_attribution,29,GARI,12.203581116000018,195.74397250905653,0.98575479598469,6.014250264880633,0.0,0.0,,,,,,,,,
base_attribution,30,RCRI,24.428308144000017,296.8825854944464,1.3010041156645342,15.355961001422381,0.0,0.0,,,,,,,,,
base_attribution,31,ACIX,10.910013403999939,137.553716742067,1.2540734077109659,6.669327381786193,0.0,0.0,,,,,,,,,
base_attribution,32,CCNS,4.607542383999962,184.55255179884892,0.39474740953684584,0.6211773878200559,0.0,0.0,,,,,,,,,
base_attribution,33,MTNS,25.788052188000016,160.55487660160742,2.5395983933804818,22.326364223989458,0.0,0.0,,,,,,,,,
base_attribution,34,IHOZ,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
base_attribution,35,NAYO,29.78023252799994,290.1622336714807,1.622770869356765,21.58395547100041,0.0,0.0,,,,,,,,,
base_attribution,36,FWWG,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
base_attribution,37,EELT,7.065213540000033,311.8843052204409,0.3581803663712692,0.8033538589688486,0.0,0.0,,,,,,,,,
base_attribution,38,HRND,6.115197831999988,246.1326678511826,0.3928359786709791,0.8175357714667844,0.0,0.0,,,,,,,,,
base_attribution,39,AETS,18.523829679999952,289.0691292086633,1.0132090710998047,9.383448193797427,0.0,0.0,,,,,,,,,
base_attribution,40,ULXY,42.934952628000026,269.9401853057278,2.5148579005037672,37.07313373424031,0.0,0.0,,,,,,,,,
base_attribution,41,BLBT,14.561629008000018,105.68632790301233,2.1785180269446096,12.027382740807637,0.0,0.0,,,,,,,,,
base_attribution,42,BENI,11.063251052000053,92.96804097422536,1.8815644217066712,8.6265644015546,0.0,0.0,,,,,,,,,
base_attribution,43,ITPA,6.108944227999936,138.04131399261482,0.6997244991616164,2.0079202773418214,0.0,0.0,,,,,,,,,
base_attribution,44,HTRK,18.68708384799998,156.99685922654874,1.8820041393614937,14.572743814080114,0.0,0.0,,,,,,,,,
base_attribution,45,NGTE,25.937659131999997,188.0976154583337,2.180306215746658,21.42969026385698,0.0,0.0,,,,,,,,,
