selector,top_n,avg_test_score,median_test_score,min_test_score,neg_test_windows,avg_test_mean_pl,avg_test_std_pl,avg_test_sharpe
train_score,30,72.18034342319902,24.19370291225413,0.007803899817898294,0,89.755894837833,1220.4069813642504,1.1456072635062922
strict_train,10,3.747412964484376,0.6955698958530202,-56.875535344000966,1,20.442858752499994,1173.491971315884,0.2160462133688752
greedy_corr_0.25,5,1.686260645656593,4.350153142481613,-21.98094697333271,1,22.884641793166967,1119.6812434818844,0.3135920272470814
greedy_corr_0.35,5,1.686260645656593,4.350153142481613,-21.98094697333271,1,22.884641793166967,1119.6812434818844,0.3135920272470814
greedy_corr_0.50,5,1.686260645656593,4.350153142481613,-21.98094697333271,1,22.884641793166967,1119.6812434818844,0.3135920272470814
strict_one_per_asset,5,1.686260645656593,4.350153142481613,-21.98094697333271,1,22.884641793166967,1119.6812434818844,0.3135920272470814
strict_train,15,-20.51396172736815,3.7250370588477186,-137.63919806600097,1,2.7158495528340563,1321.2082546385545,0.005198370908036071
train_score,40,36.4503477247257,-2.686013463051589,-43.13750390399917,2,53.55823742733406,1310.9377274613594,0.643763481356154
train_score,20,35.08621680031949,19.359367661719844,-87.214398678,2,49.9420642743337,1139.3550336323801,0.7021252267138097
train_score,15,33.30004257906559,24.440996511768372,-77.15778897200028,2,48.59357865249984,1104.6206006881469,0.6449132452190731
train_score,10,-2.272608663036603,-1.5289983114231052,-19.22191013399919,2,9.579232914999722,1047.7399442602214,0.16404138805191584
strict_one_per_asset,10,-4.299238824714449,-8.08364716514498,-19.408966246664544,2,10.50994395983335,1278.429629391404,0.11463648801884635
greedy_corr_0.25,10,-7.062033609874531,-8.08364716514498,-19.408966246664544,2,5.75481542483302,1260.6738814957698,0.06455282657654067
greedy_corr_0.35,10,-7.062033609874531,-8.08364716514498,-19.408966246664544,2,5.75481542483302,1260.6738814957698,0.06455282657654067
greedy_corr_0.50,10,-7.062033609874531,-8.08364716514498,-19.408966246664544,2,5.75481542483302,1260.6738814957698,0.06455282657654067
strict_one_per_asset,15,-9.630691138836466,-13.745925479139878,-30.123536213330713,2,7.462230740667388,1396.9708273694616,0.06385089750585642
greedy_corr_0.35,15,-14.98203390383695,-13.917261371805132,-51.18623548800213,2,2.1108879756669046,1364.9400530410746,-0.011017284355820361
greedy_corr_0.50,15,-14.98203390383695,-13.917261371805132,-51.18623548800213,2,2.1108879756669046,1364.9400530410746,-0.011017284355820361
strict_train,5,-20.318500799452796,-22.522874552403223,-56.25393736400059,2,-5.051022854833366,1040.1573353476026,-0.14592898529493023
greedy_corr_0.25,15,-24.29766846926745,-32.54853050266613,-51.18623548800213,3,-13.45904738933297,1356.2252443477012,-0.18591850788745823
strict_train,20,-33.40907225058659,-17.107246531000417,-99.61462572600009,3,-30.74927612800029,1250.3222998625097,-0.37255907461384485
train_score,5,-36.19228281687883,-57.08239104000095,-89.07871473599953,3,-28.37950995450068,1018.7706935929463,-0.45535082040291974
strict_one_per_asset,20,-40.198297232604844,-30.72170087399851,-99.9747425020016,3,-35.913513415998686,1446.0991125733713,-0.38479161968248543
greedy_corr_0.35,20,-42.748843505105356,-35.822793418999524,-99.9747425020016,3,-38.46405968849919,1417.1848321336772,-0.4204608317338637
greedy_corr_0.50,20,-42.748843505105356,-35.822793418999524,-99.9747425020016,3,-38.46405968849919,1417.1848321336772,-0.4204608317338637
strict_one_per_asset,30,-44.850504020211915,-30.495450570998,-123.05962022200373,3,-37.219736804332825,1569.939933766485,-0.3437825730574625
greedy_corr_0.25,20,-44.94239596510549,-35.822793418999524,-108.74895234200216,3,-40.65761214849933,1402.029015356605,-0.4538298098436899
greedy_corr_0.35,30,-48.54314193021134,-37.880726390996855,-123.05962022200373,3,-40.91237471433226,1554.2473673155362,-0.3840839388459267
greedy_corr_0.50,30,-48.54314193021134,-37.880726390996855,-123.05962022200373,3,-40.91237471433226,1554.2473673155362,-0.3840839388459267
strict_train,30,-70.05401574072151,-19.37548438766609,-255.35247865799917,3,-60.23345785433265,1338.6125501341005,-0.6591445028203972
strict_train,40,-70.67676453451426,-20.55911425766506,-254.71296907199996,3,-60.95151922533249,1351.5980325007765,-0.6369135074583145
greedy_corr_0.25,30,-67.91587403016487,-60.67527082532935,-120.20258721200145,4,-67.91587403016487,1558.8208367208765,-0.6820679210753464
strict_one_per_asset,40,-81.59180459599911,-83.24530997599926,-113.42855389199968,4,-81.59180459599911,1742.4900051969569,-0.7342432356266568
greedy_corr_0.50,40,-85.28444250599873,-90.63058579599848,-113.42855389199968,4,-85.28444250599873,1726.3978722546685,-0.7768887779435745
greedy_corr_0.35,40,-91.71850516266481,-92.16987730532962,-113.42855389199968,4,-91.71850516266481,1712.5464836087194,-0.8402602494699692
greedy_corr_0.25,40,-101.64854498516515,-111.72706674299792,-114.03433430666443,4,-101.64854498516515,1732.3152927396145,-0.9219419037128997
