top_n,window,start_day,end_day,days,total_pl,mean_pl,std_pl,ann_sharpe,score,worst_day,best_day,positive_day_rate,max_drawdown
5,1-51,1,51,50,2101.5368130000243,42.03073626000049,355.68271626645094,1.8684188496786587,32.671831956234215,-871.5769490000057,1004.1751390000009,0.46,-1943.609246999998
5,26-76,26,76,50,9125.901102000013,182.51802204000026,403.95505653534707,7.144020780746294,179.01055799347097,-871.5769490000057,1004.1751390000009,0.66,-1296.9499800000067
5,51-101,51,101,50,6906.856090000001,138.13712180000002,468.820870609799,4.658793599993883,132.0529540392489,-1208.0823089999994,965.9505519999948,0.6,-1797.9080539999995
5,76-126,76,126,50,6226.218189000016,124.52436378000031,519.9588466996016,3.7866517343407784,116.4060676262795,-1208.0823089999994,1868.4446119999975,0.54,-1797.9080539999995
5,101-151,101,151,50,9493.99988299999,189.8799976599998,487.6741556070711,6.15629583615703,184.9987610793845,-765.3458060000012,1868.4446119999975,0.62,-2009.3988619999982
5,126-176,126,176,50,3985.9654699999883,79.71930939999976,483.7002845005754,2.605896660366451,69.4866812717579,-1415.5021439999946,933.8703580000056,0.58,-3417.373702999992
5,151-201,151,201,50,6724.821334000014,134.49642668000027,490.57547874767914,4.334858384568731,127.70058788401217,-1415.5021439999946,1401.2908009999992,0.6,-3417.3737029999957
5,176-226,176,226,50,10164.58220700004,203.29164414000078,395.0634493481167,8.136219964458844,200.26638421697484,-508.93777999999656,1401.2908009999992,0.68,-710.7592279999972
5,201-251,201,251,50,5960.040548000023,119.20081096000045,413.3985081271037,4.559112504790021,113.7292462228165,-676.4935559999994,1899.867616000005,0.58,-949.180516999997
5,226-276,226,276,50,5327.01406400001,106.5402812800002,533.2438970702643,3.159060546692072,96.83686177952943,-854.7468280000012,1899.867616000005,0.52,-1710.705143999985
5,251-301,251,301,50,3322.5250739999947,66.4505014799999,488.7876519011311,2.149552423428388,54.62777975894835,-879.0461959999975,1068.6730830000051,0.58,-3047.6797630000146
5,276-326,276,326,50,6256.524550999984,125.13049101999968,405.16828774776485,4.883123486268304,120.09402412770953,-879.0461959999975,1094.1409599999981,0.64,-2666.1417209999963
5,301-351,301,351,50,10228.184240999995,204.5636848199999,402.40520391718127,8.037758511705858,201.4456003326634,-534.0655320000005,1094.1409599999981,0.64,-1117.5045730000056
5,326-376,326,376,50,9032.683530000008,180.65367060000014,484.8189358477805,5.891653816768024,175.59498524244412,-983.9589569999953,1255.280782999991,0.64,-1688.8622400000022
5,351-401,351,401,50,9015.42502500001,180.30850050000018,494.8671804101209,5.760995734219722,175.034636930592,-983.9589569999953,1255.2807829999874,0.64,-1688.8622400000022
5,376-426,376,426,50,5648.675928000009,112.97351856000017,426.785832694511,4.18539706059813,106.87262900513906,-794.0723099999996,1315.8720600000033,0.54,-1593.7006379999912
5,401-451,401,451,50,8011.782968000029,160.23565936000057,430.7564971046275,5.881625110269713,155.7338374932353,-794.0723099999996,1585.5141180000028,0.64,-1593.7006379999912
5,426-476,426,476,50,7561.20458800003,151.2240917600006,463.9069562429118,5.154186207131376,145.73812746973056,-1331.5138350000034,1585.5141180000028,0.72,-2235.600371999999
10,1-51,1,51,50,4713.703128000012,94.27406256000023,460.2351452660997,3.2387874441274676,86.06900057847106,-1316.6078119999966,813.8360599999996,0.58,-1871.2771530000173
10,26-76,26,76,50,7520.986209999992,150.41972419999985,549.4742823506382,4.328400334329096,142.7977658892831,-1316.6078119999966,1240.104083000013,0.56,-1871.2771530000173
10,51-101,51,101,50,4082.1952319999764,81.64390463999953,725.213349592605,1.7800327026317377,62.058062492293544,-1773.346821999985,1594.7742449999969,0.58,-3492.251048000002
10,76-126,76,126,50,10615.103751000013,212.30207502000027,843.9607812113682,3.977424804500471,199.68000395590204,-1773.346821999985,2628.960424000001,0.64,-3492.2510479999946
10,101-151,101,151,50,20491.177473000025,409.8235494600005,760.4695972896154,8.520891957333003,404.2557183322049,-1124.6546959999996,2628.960424000001,0.7,-2215.45895799997
10,126-176,126,176,50,11943.288002000041,238.86576004000082,716.2384672126288,5.273103102750502,230.57342713918797,-1047.5805189999955,2058.9903959999974,0.64,-2834.1258650000054
10,151-201,151,201,50,14826.318218,296.52636436,658.552256657992,7.119394764700921,290.789266962158,-969.3504120000016,1793.7845720000005,0.72,-2834.1258650000045
10,176-226,176,226,50,23075.352951999987,461.5070590399997,581.9479401018929,12.539037964088958,458.5903275135422,-883.3050619999995,1793.7845720000005,0.76,-883.3050619999995
10,201-251,201,251,50,19981.563203999973,399.6312640799995,669.7298228296809,9.434737528676662,395.19162074170094,-623.8335629999948,3156.8300430000054,0.72,-729.853328000001
10,226-276,226,276,50,12771.529579999993,255.43059159999987,778.8876170907123,5.1852310642537764,246.27098098018328,-1445.334115999991,3156.8300430000054,0.62,-1771.4448690000063
10,251-301,251,301,50,8169.684869000004,163.39369738000008,750.016332982965,3.4445665801842114,150.69309862328774,-1460.1147980000023,1687.6243440000035,0.56,-2585.0559280000125
10,276-326,276,326,50,13344.659323000007,266.89318646000015,670.5495696095613,6.293273453930033,260.3203191950311,-1460.1147980000023,1596.2699959999936,0.68,-2585.055928000009
10,301-351,301,351,50,17231.005105000004,344.62010210000005,576.1609083949382,9.457292522254622,340.80963497187713,-718.6753960000024,1596.2699959999936,0.72,-1309.3492959999858
10,326-376,326,376,50,16600.383768999964,332.0076753799993,588.0137758892927,8.927515799019947,327.89360523620405,-805.181961000002,1349.397771999982,0.68,-1191.9948710000117
10,351-401,351,401,50,12909.890097999985,258.1978019599997,613.2806271668674,6.656766126908221,252.49964800699564,-884.3319320000046,1552.8748379999925,0.62,-1191.9948710000117
10,376-426,376,426,50,8575.834421999996,171.51668843999994,600.5242203624575,4.515916043090705,163.49945391486168,-1079.2866760000034,1552.8748379999997,0.6,-2204.83889000001
10,401-451,401,451,50,12731.49645100001,254.6299290200002,647.9695954663421,6.2133357937165155,248.20078001246725,-1079.2866759999997,1976.2070210000093,0.64,-1796.7901609999954
10,426-476,426,476,50,12712.477052000042,254.24954104000085,700.0849344084132,5.742215010084897,246.76567760695818,-1876.0205270000006,1976.2070210000093,0.66,-2256.151999999982
15,1-51,1,51,50,6684.013716000016,133.6802743200003,648.3002369464865,3.2603269364701153,122.18557458032888,-2099.6749760000002,1408.496940999994,0.56,-2770.438877999999
15,26-76,26,76,50,12905.51165300006,258.1102330600012,719.0720449126801,5.67548293415865,250.33842838433372,-2099.6749760000002,1982.2550280000141,0.68,-2770.438877999999
15,51-101,51,101,50,12493.85086800001,249.8770173600002,889.2662059918573,4.442879446350345,237.82846750555058,-2183.1435489999894,2590.793456999985,0.64,-2183.1435489999894
15,76-126,76,126,50,18463.587510999925,369.2717502199985,1035.935085579164,5.636163030423506,358.00189764696347,-2183.1435489999894,2590.793456999985,0.66,-2183.1435489999894
15,101-151,101,151,50,30275.058719999943,605.5011743999988,888.2537546829996,10.778242292340074,600.333481689983,-1150.6949280000117,2340.5178660000056,0.76,-1235.3572329999952
15,126-176,126,176,50,20519.705273000007,410.39410546000016,897.5547519407204,7.229531729149918,402.68950756657244,-1647.5060550000053,2218.2099150000086,0.66,-2804.1187779999927
15,151-201,151,201,50,23321.623083000042,466.43246166000085,921.1025060505776,8.006649334877466,459.26830850228913,-1647.506055000009,2353.7976840000156,0.68,-2804.118777999989
15,176-226,176,226,50,29744.264209999932,594.8852841999986,795.1105265187346,11.829754366509746,590.6645360166606,-932.1370940000052,2353.7976840000156,0.7,-1508.9508830000268
15,201-251,201,251,50,21603.01556299995,432.060311259999,978.0313401897805,6.9849227422393785,423.38251000322083,-2665.1404679999996,3271.8145159999876,0.6,-3252.1121439999897
15,226-276,226,276,50,17448.563044000082,348.97126088000164,1097.9356957477646,5.025540323516108,335.68018369193436,-2665.1404679999996,3271.8145159999876,0.62,-3252.112143999988
15,251-301,251,301,50,16753.91029500001,335.07820590000017,1013.1676465000947,5.2291954277616775,323.25656906279823,-2195.1199919999854,1961.3802420000175,0.64,-3511.4105190000046
15,276-326,276,326,50,20656.265683999984,413.1253136799997,885.8143535734952,7.374101272067077,405.66513063261687,-1766.3058120000132,2138.1504939999886,0.7,-3155.478327000026
15,301-351,301,351,50,23819.44053199998,476.3888106399996,757.4381122905309,9.944533216617547,471.6198550841753,-1157.3924139999945,2367.255972999992,0.76,-1981.5471490000018
15,326-376,326,376,50,21930.412681999973,438.6082536399995,871.6530834072789,7.9561531327891934,431.78701395800425,-1639.131436999989,2367.255972999992,0.66,-2980.892848000014
15,351-401,351,401,50,16061.760084999989,321.2352016999998,857.7148644251934,5.921751762320017,312.32861341335797,-1639.131436999989,2246.8339629999973,0.56,-2980.892848000014
