name,kwargs,gates,threshold,score_250_500,score_250_400,score_400_500,roll_mean,roll_median,roll_min,roll_neg_count,recent_roll_mean,recent_roll_min
none_both_x0.2_sm1.0_gate()_th-500.0,"{'excluded': (), 'mode': 'both', 'exposure_mult': 0.2, 'short_mult': 1.0}",(),-500.0,223.056511487323,228.29338610896474,215.05665873516958,118.7732026027302,112.90870111620603,-99.13614348000061,3,214.6222232877579,75.1218395003092
"none_both_x0.2_sm1.0_gate(10,)_th-500.0","{'excluded': (), 'mode': 'both', 'exposure_mult': 0.2, 'short_mult': 1.0}","(10,)",-500.0,190.5648545385835,195.6422165927874,182.7898506748744,87.95743953180263,63.32370165865936,-108.86218254999986,4,175.67733478410946,28.806468199309663
"none_both_x0.2_sm1.0_gate(10,)_th-250.0","{'excluded': (), 'mode': 'both', 'exposure_mult': 0.2, 'short_mult': 1.0}","(10,)",-250.0,152.64093817831915,194.47490548552972,89.04328978653966,83.8820848149027,27.183811104146706,-54.9378407200011,3,148.80330079141825,0.19265665132587798
"none_both_x0.2_sm1.0_gate(10,)_th0.0","{'excluded': (), 'mode': 'both', 'exposure_mult': 0.2, 'short_mult': 1.0}","(10,)",0.0,127.70715287330609,180.50217679783077,48.69420533042826,53.85669396591798,14.74242628102286,-112.84970432399773,5,123.35523978343024,0.20696731663214687
"none_both_x0.2_sm1.0_gate(10,)_th250.0","{'excluded': (), 'mode': 'both', 'exposure_mult': 0.2, 'short_mult': 1.0}","(10,)",250.0,94.65192127798814,150.2221214401219,16.09173349348047,48.37737731630714,28.740759263211384,-87.42370858400017,5,107.1949609072663,9.102784437184699
"none_both_x0.2_sm1.0_gate(10,)_th500.0","{'excluded': (), 'mode': 'both', 'exposure_mult': 0.2, 'short_mult': 1.0}","(10,)",500.0,-17.509725664000005,17.61264297180881,-103.39907443800003,-22.824202238726183,-36.66611470200024,-103.39907443800003,9,-7.58092988551701,-103.39907443800003
"none_both_x0.2_sm1.0_gate(10,)_th750.0","{'excluded': (), 'mode': 'both', 'exposure_mult': 0.2, 'short_mult': 1.0}","(10,)",750.0,10.407872610904215,16.18305070567582,3.2778707207316318,4.996525876125742,1.3983516213860578,-15.144208841999905,7,12.310506623385695,-8.207049105999953
"none_both_x0.2_sm1.0_gate(20,)_th-500.0","{'excluded': (), 'mode': 'both', 'exposure_mult': 0.2, 'short_mult': 1.0}","(20,)",-500.0,223.056511487323,228.29338610896474,215.05665873516958,117.9477020963943,112.90870111620603,-70.7766126280019,3,207.05541080428404,75.1218395003092
"none_both_x0.2_sm1.0_gate(20,)_th-250.0","{'excluded': (), 'mode': 'both', 'exposure_mult': 0.2, 'short_mult': 1.0}","(20,)",-250.0,213.3947308304222,212.1775738762852,215.05665873516958,105.93869105659452,88.13119909150453,-74.8544302900008,4,189.33058196085403,51.21579577135465
"none_both_x0.2_sm1.0_gate(20,)_th0.0","{'excluded': (), 'mode': 'both', 'exposure_mult': 0.2, 'short_mult': 1.0}","(20,)",0.0,168.40851133823347,183.38340807637496,145.8566956366488,98.84479774198108,54.964080851268584,-12.731291583998535,1,154.8008407686913,1.1156196435127776
"none_both_x0.2_sm1.0_gate(20,)_th250.0","{'excluded': (), 'mode': 'both', 'exposure_mult': 0.2, 'short_mult': 1.0}","(20,)",250.0,18.555863209612124,114.31736063316067,-88.63897074000087,33.07995402681844,11.381594795400659,-97.92224615000005,7,61.184661088980356,-88.63897074000087
"none_both_x0.2_sm1.0_gate(20,)_th500.0","{'excluded': (), 'mode': 'both', 'exposure_mult': 0.2, 'short_mult': 1.0}","(20,)",500.0,-12.420895054400091,-35.479758664000286,8.47649525142676,-12.864791314185737,1.601196567964493,-111.73625267200103,5,-26.960617264547903,-111.73625267200103
"none_both_x0.2_sm1.0_gate(20,)_th750.0","{'excluded': (), 'mode': 'both', 'exposure_mult': 0.2, 'short_mult': 1.0}","(20,)",750.0,-10.541949108800099,-17.569915181333496,0.0,-7.027966072533399,0.0,-26.354872772000245,4,-8.784957590666748,-26.354872772000245
"none_both_x0.2_sm1.0_gate(40,)_th-500.0","{'excluded': (), 'mode': 'both', 'exposure_mult': 0.2, 'short_mult': 1.0}","(40,)",-500.0,223.056511487323,228.29338610896474,215.05665873516958,117.42803714334278,112.90870111620603,-105.7652778620008,3,214.6222232877579,75.1218395003092
"none_both_x0.2_sm1.0_gate(40,)_th-250.0","{'excluded': (), 'mode': 'both', 'exposure_mult': 0.2, 'short_mult': 1.0}","(40,)",-250.0,223.056511487323,228.29338610896474,215.05665873516958,121.35788732145787,112.90870111620603,-113.76056984200055,3,214.4709112459286,75.1218395003092
"none_both_x0.2_sm1.0_gate(40,)_th0.0","{'excluded': (), 'mode': 'both', 'exposure_mult': 0.2, 'short_mult': 1.0}","(40,)",0.0,210.93118981047806,225.69169243823768,188.55611171223936,116.25843666512007,81.96812858474524,-77.73832372200161,4,197.30583614773914,45.44306115884686
"none_both_x0.2_sm1.0_gate(40,)_th250.0","{'excluded': (), 'mode': 'both', 'exposure_mult': 0.2, 'short_mult': 1.0}","(40,)",250.0,103.5999905003098,173.3313611760638,7.41998846545376,42.11311078979987,7.41998846545376,-126.60712148600011,7,116.3611707814444,-8.494173343999913
"none_both_x0.2_sm1.0_gate(40,)_th500.0","{'excluded': (), 'mode': 'both', 'exposure_mult': 0.2, 'short_mult': 1.0}","(40,)",500.0,-14.758104795199854,-24.596841325333088,0.0,-9.83873653013323,0.0,-36.89526198799963,7,-15.36859532222208,-36.89526198799963
"none_both_x0.2_sm1.0_gate(40,)_th750.0","{'excluded': (), 'mode': 'both', 'exposure_mult': 0.2, 'short_mult': 1.0}","(40,)",750.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
"none_both_x0.2_sm1.0_gate(20, 60)_th-500.0","{'excluded': (), 'mode': 'both', 'exposure_mult': 0.2, 'short_mult': 1.0}","(20, 60)",-500.0,223.056511487323,228.29338610896474,215.05665873516958,117.9477020963943,112.90870111620603,-70.7766126280019,3,207.05541080428404,75.1218395003092
"none_both_x0.2_sm1.0_gate(20, 60)_th-250.0","{'excluded': (), 'mode': 'both', 'exposure_mult': 0.2, 'short_mult': 1.0}","(20, 60)",-250.0,213.3947308304222,212.1775738762852,215.05665873516958,95.38891043860912,88.13119909150453,-117.15656559800036,4,189.33058196085403,51.21579577135465
"none_both_x0.2_sm1.0_gate(20, 60)_th0.0","{'excluded': (), 'mode': 'both', 'exposure_mult': 0.2, 'short_mult': 1.0}","(20, 60)",0.0,135.69629685773162,125.77173587171134,150.5149289758327,72.0223352112278,30.633990399209015,-72.00288055000027,3,137.39108312621136,1.8867230538125053
"none_both_x0.2_sm1.0_gate(20, 60)_th250.0","{'excluded': (), 'mode': 'both', 'exposure_mult': 0.2, 'short_mult': 1.0}","(20, 60)",250.0,6.059716923187832,50.83384126735289,-51.77142634999931,13.130378171743486,0.0,-68.60122836999818,7,33.3531672555725,-68.60122836999818
"none_both_x0.2_sm1.0_gate(20, 60)_th500.0","{'excluded': (), 'mode': 'both', 'exposure_mult': 0.2, 'short_mult': 1.0}","(20, 60)",500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
"none_both_x0.2_sm1.0_gate(20, 60)_th750.0","{'excluded': (), 'mode': 'both', 'exposure_mult': 0.2, 'short_mult': 1.0}","(20, 60)",750.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
"none_both_x0.2_sm1.0_gate(10, 40)_th-500.0","{'excluded': (), 'mode': 'both', 'exposure_mult': 0.2, 'short_mult': 1.0}","(10, 40)",-500.0,190.5648545385835,195.6422165927874,182.7898506748744,86.51126281574716,63.32370165865936,-115.49131693200063,4,175.67733478410946,28.806468199309663
"none_both_x0.2_sm1.0_gate(10, 40)_th-250.0","{'excluded': (), 'mode': 'both', 'exposure_mult': 0.2, 'short_mult': 1.0}","(10, 40)",-250.0,152.64093817831915,194.47490548552972,89.04328978653966,90.57846702643057,43.60092752965352,-43.14532079600047,3,152.20971566343505,0.19265665132587798
"none_both_x0.2_sm1.0_gate(10, 40)_th0.0","{'excluded': (), 'mode': 'both', 'exposure_mult': 0.2, 'short_mult': 1.0}","(10, 40)",0.0,133.80721935329245,190.13950843501883,49.108421199684685,86.96195977276646,49.108421199684685,-45.979758922000784,4,143.8435442483135,2.566631671366336
"none_both_x0.2_sm1.0_gate(10, 40)_th250.0","{'excluded': (), 'mode': 'both', 'exposure_mult': 0.2, 'short_mult': 1.0}","(10, 40)",250.0,29.359887288824257,60.75874800197585,0.46168694571162827,7.813040619162762,0.46168694571162827,-86.09105449400056,7,51.02837026104936,-10.158420850000306
"none_both_x0.2_sm1.0_gate(10, 40)_th500.0","{'excluded': (), 'mode': 'both', 'exposure_mult': 0.2, 'short_mult': 1.0}","(10, 40)",500.0,-14.312438376800191,-23.854063961333654,0.0,-9.541625584533438,0.0,-35.781095942000476,7,-12.974390110666816,-35.781095942000476
"none_both_x0.2_sm1.0_gate(10, 40)_th750.0","{'excluded': (), 'mode': 'both', 'exposure_mult': 0.2, 'short_mult': 1.0}","(10, 40)",750.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
none_both_x0.2_sm1.25_gate()_th-500.0,"{'excluded': (), 'mode': 'both', 'exposure_mult': 0.2, 'short_mult': 1.25}",(),-500.0,264.2789969666914,266.13299101678473,261.32829218217154,139.32188926906457,136.4910913221279,-124.93545256800047,3,256.7481944696315,92.08118639144418
"none_both_x0.2_sm1.25_gate(10,)_th-500.0","{'excluded': (), 'mode': 'both', 'exposure_mult': 0.2, 'short_mult': 1.25}","(10,)",-500.0,231.6230367416322,238.37700192930603,221.3093659326093,112.62281785161112,94.11289488652618,-119.10523915200059,3,221.74332212638674,51.35156808775574
"none_both_x0.2_sm1.25_gate(10,)_th-250.0","{'excluded': (), 'mode': 'both', 'exposure_mult': 0.2, 'short_mult': 1.25}","(10,)",-250.0,193.2604122162149,242.2895737016439,118.71893434314143,107.73381297221876,53.46199800788607,-79.88650266600135,4,189.66652465762292,6.692895885297248
"none_both_x0.2_sm1.25_gate(10,)_th0.0","{'excluded': (), 'mode': 'both', 'exposure_mult': 0.2, 'short_mult': 1.25}","(10,)",0.0,176.00490252664804,258.71680365441017,51.10206416428524,105.41467331837156,82.03239911887204,-48.91256371199998,4,177.44209271641313,21.003767708275625
"none_both_x0.2_sm1.25_gate(10,)_th250.0","{'excluded': (), 'mode': 'both', 'exposure_mult': 0.2, 'short_mult': 1.25}","(10,)",250.0,113.8233956983246,164.03427332526158,39.81816216764948,43.36914310541075,39.81816216764948,-112.11853169400136,5,114.90850443218467,13.702380198341327
"none_both_x0.2_sm1.25_gate(10,)_th500.0","{'excluded': (), 'mode': 'both', 'exposure_mult': 0.2, 'short_mult': 1.25}","(10,)",500.0,-5.015781953601571,5.30896604948669,-55.90518862000154,-34.342398004066574,-19.78384731600054,-119.06783805600222,10,-5.075502760110357,-55.90518862000154
"none_both_x0.2_sm1.25_gate(10,)_th750.0","{'excluded': (), 'mode': 'both', 'exposure_mult': 0.2, 'short_mult': 1.25}","(10,)",750.0,14.332676264858925,10.59043485587988,22.21109381427798,2.807507700431489,-20.37678012200039,-43.25970931799962,9,10.939071314211738,-43.25970931799962
"none_both_x0.2_sm1.25_gate(20,)_th-500.0","{'excluded': (), 'mode': 'both', 'exposure_mult': 0.2, 'short_mult': 1.25}","(20,)",-500.0,264.2789969666914,266.13299101678473,261.32829218217154,130.71743907281166,136.4910913221279,-108.22594654800051,4,244.3542727266765,92.08118639144418
"none_both_x0.2_sm1.25_gate(20,)_th-250.0","{'excluded': (), 'mode': 'both', 'exposure_mult': 0.2, 'short_mult': 1.25}","(20,)",-250.0,237.3604985391335,227.23219403787047,252.25200711229255,121.60857034482046,68.21257370157608,-89.34747334000048,3,218.40398772823,28.758731384976322
"none_both_x0.2_sm1.25_gate(20,)_th0.0","{'excluded': (), 'mode': 'both', 'exposure_mult': 0.2, 'short_mult': 1.25}","(20,)",0.0,204.20703885456277,207.65090475876917,199.08407600880494,115.88771562042098,53.62892557351868,-23.43959551800029,2,185.75954667738026,1.553911151259601
"none_both_x0.2_sm1.25_gate(20,)_th250.0","{'excluded': (), 'mode': 'both', 'exposure_mult': 0.2, 'short_mult': 1.25}","(20,)",250.0,32.15859378706212,110.17583926869447,-42.08496459000204,42.64177326740043,1.6607129805685927,-95.9969448580005,6,75.30128513094164,-95.9969448580005
"none_both_x0.2_sm1.25_gate(20,)_th500.0","{'excluded': (), 'mode': 'both', 'exposure_mult': 0.2, 'short_mult': 1.25}","(20,)",500.0,0.46488546877386366,0.7191253732332078,0.19042640311859224,3.1632196237410786,0.30353970487900084,-79.38831892600085,4,-2.1291296563439803,-79.38831892600085
"none_both_x0.2_sm1.25_gate(20,)_th750.0","{'excluded': (), 'mode': 'both', 'exposure_mult': 0.2, 'short_mult': 1.25}","(20,)",750.0,-22.63206822319959,-26.74714593199962,-16.459451659999658,-10.462388915130077,-12.8565140119996,-40.12071889799943,8,-19.888232004221866,-40.12071889799943
"none_both_x0.2_sm1.25_gate(40,)_th-500.0","{'excluded': (), 'mode': 'both', 'exposure_mult': 0.2, 'short_mult': 1.25}","(40,)",-500.0,264.2789969666914,266.13299101678473,261.32829218217154,123.4941130854254,136.4910913221279,-174.9071696760002,5,250.65312045337927,92.08118639144418
"none_both_x0.2_sm1.25_gate(40,)_th-250.0","{'excluded': (), 'mode': 'both', 'exposure_mult': 0.2, 'short_mult': 1.25}","(40,)",-250.0,264.2789969666914,266.13299101678473,261.32829218217154,136.04267542526745,136.4910913221279,-173.1392990159997,5,255.4776210759512,92.08118639144418
"none_both_x0.2_sm1.25_gate(40,)_th0.0","{'excluded': (), 'mode': 'both', 'exposure_mult': 0.2, 'short_mult': 1.25}","(40,)",0.0,238.51276784711547,245.25229007343515,228.2418440422958,134.85735640882328,91.87664073179303,-72.84617541600034,3,221.8341804218217,31.00800070284318
"none_both_x0.2_sm1.25_gate(40,)_th250.0","{'excluded': (), 'mode': 'both', 'exposure_mult': 0.2, 'short_mult': 1.25}","(40,)",250.0,112.78540961255162,196.10923100054657,4.523807329894241,41.17098693501104,1.4096001285353217,-201.19509337800042,7,136.8297429454628,-35.50512471800118
"none_both_x0.2_sm1.25_gate(40,)_th500.0","{'excluded': (), 'mode': 'both', 'exposure_mult': 0.2, 'short_mult': 1.25}","(40,)",500.0,-8.329591486399254,-13.882652477332098,0.0,-8.35925220381846,0.0,-35.004813177998784,4,-10.883375813253032,-35.004813177998784
"none_both_x0.2_sm1.25_gate(40,)_th750.0","{'excluded': (), 'mode': 'both', 'exposure_mult': 0.2, 'short_mult': 1.25}","(40,)",750.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
"none_both_x0.2_sm1.25_gate(20, 60)_th-500.0","{'excluded': (), 'mode': 'both', 'exposure_mult': 0.2, 'short_mult': 1.25}","(20, 60)",-500.0,264.2789969666914,266.13299101678473,261.32829218217154,130.71743907281166,136.4910913221279,-108.22594654800051,4,244.3542727266765,92.08118639144418
"none_both_x0.2_sm1.25_gate(20, 60)_th-250.0","{'excluded': (), 'mode': 'both', 'exposure_mult': 0.2, 'short_mult': 1.25}","(20, 60)",-250.0,237.3604985391335,227.23219403787047,252.25200711229255,89.86795663274997,68.21257370157608,-178.13248252399998,4,207.63284721339582,28.758731384976322
"none_both_x0.2_sm1.25_gate(20, 60)_th0.0","{'excluded': (), 'mode': 'both', 'exposure_mult': 0.2, 'short_mult': 1.25}","(20, 60)",0.0,151.666289622803,142.8956719921507,164.81140210606023,78.0532029955122,7.262262476632316,-78.14359896199905,5,152.50579543122817,-11.06965014000307
"none_both_x0.2_sm1.25_gate(20, 60)_th250.0","{'excluded': (), 'mode': 'both', 'exposure_mult': 0.2, 'short_mult': 1.25}","(20, 60)",250.0,38.735525961060986,75.93027324253906,0.9334874369583072,35.140506763281465,0.9334874369583072,-65.62088914400002,5,66.53287845301641,-65.62088914400002
"none_both_x0.2_sm1.25_gate(20, 60)_th500.0","{'excluded': (), 'mode': 'both', 'exposure_mult': 0.2, 'short_mult': 1.25}","(20, 60)",500.0,-5.0985071648002265,-8.49751194133371,0.0,-3.3990047765334865,0.0,-12.746267912000567,5,-5.6650079608891435,-12.746267912000567
"none_both_x0.2_sm1.25_gate(20, 60)_th750.0","{'excluded': (), 'mode': 'both', 'exposure_mult': 0.2, 'short_mult': 1.25}","(20, 60)",750.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
"none_both_x0.2_sm1.25_gate(10, 40)_th-500.0","{'excluded': (), 'mode': 'both', 'exposure_mult': 0.2, 'short_mult': 1.25}","(10, 40)",-500.0,231.6230367416322,238.37700192930603,221.3093659326093,102.08536636420817,94.11289488652618,-169.07695625999975,5,221.74332212638674,51.35156808775574
"none_both_x0.2_sm1.25_gate(10, 40)_th-250.0","{'excluded': (), 'mode': 'both', 'exposure_mult': 0.2, 'short_mult': 1.25}","(10, 40)",-250.0,193.2604122162149,242.2895737016439,118.71893434314143,104.38887989411815,53.46199800788607,-88.7002457079995,3,191.60456495982024,6.692895885297248
"none_both_x0.2_sm1.25_gate(10, 40)_th0.0","{'excluded': (), 'mode': 'both', 'exposure_mult': 0.2, 'short_mult': 1.25}","(10, 40)",0.0,182.0423793305613,268.1505822118127,51.57777866105239,118.80302470780079,74.61290062786524,-59.231278141999695,4,200.70785345012064,33.18441688308069
"none_both_x0.2_sm1.25_gate(10, 40)_th250.0","{'excluded': (), 'mode': 'both', 'exposure_mult': 0.2, 'short_mult': 1.25}","(10, 40)",250.0,52.078818397011425,100.47246569655431,1.0450461410261556,13.595236483412808,1.0450461410261556,-103.73229375800038,7,70.89372766035483,-19.44706016400189
"none_both_x0.2_sm1.25_gate(10, 40)_th500.0","{'excluded': (), 'mode': 'both', 'exposure_mult': 0.2, 'short_mult': 1.25}","(10, 40)",500.0,-34.64836798720011,-57.74727997866686,0.0,-23.088591898000075,-33.06936549400048,-53.551554473999914,8,-34.80661255288897,-53.551554473999914
"none_both_x0.2_sm1.25_gate(10, 40)_th750.0","{'excluded': (), 'mode': 'both', 'exposure_mult': 0.2, 'short_mult': 1.25}","(10, 40)",750.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
none_both_x0.35_sm1.0_gate()_th-500.0,"{'excluded': (), 'mode': 'both', 'exposure_mult': 0.35, 'short_mult': 1.0}",(),-500.0,392.39233860008176,401.6072328754685,378.3193762043234,208.84156296104342,198.95930053571817,-173.97872768200642,3,377.6085794020218,132.36894038712296
"none_both_x0.35_sm1.0_gate(10,)_th-500.0","{'excluded': (), 'mode': 'both', 'exposure_mult': 0.35, 'short_mult': 1.0}","(10,)",-500.0,279.08600101471563,375.5421213030685,131.98423796108108,152.05815437824592,93.01290199172637,-152.33651837000411,3,281.6287677486681,17.625469919002388
"none_both_x0.35_sm1.0_gate(10,)_th-250.0","{'excluded': (), 'mode': 'both', 'exposure_mult': 0.35, 'short_mult': 1.0}","(10,)",-250.0,261.05750505563435,342.9256321904373,136.67747501324143,147.29841994666813,81.43523448143718,-76.94113382800097,4,251.2006860034835,0.08618195818873459
"none_both_x0.35_sm1.0_gate(10,)_th0.0","{'excluded': (), 'mode': 'both', 'exposure_mult': 0.35, 'short_mult': 1.0}","(10,)",0.0,224.77519483082375,317.63279904571624,85.77535349854404,94.76372095698619,26.146730984864853,-198.6791556540021,5,217.10979232101624,0.3689754513456462
