top_n,window,start_day,end_day,days,total_pl,mean_pl,std_pl,ann_sharpe,score,worst_day,best_day,positive_day_rate,max_drawdown
5,1-101,1,101,100,9011.33353600002,90.1133353600002,418.8663453990391,3.4016028074625497,82.94492868567062,-1208.0823089999994,1004.1751390000009,0.53,-1943.609246999998
5,26-126,26,126,100,15352.081285000017,153.52081285000017,466.486613175618,5.203530210026407,148.052910028491,-1208.0823089999994,1868.4446119999975,0.6,-1797.9080539999995
5,51-151,51,151,100,16402.85079199999,164.0285079199999,479.0589695835595,5.413776999907453,158.61662997762807,-1208.0823089999994,1868.4446119999975,0.61,-2009.3988619999946
5,76-176,76,176,100,10214.084502999991,102.14084502999991,502.68288383493217,3.212738316898344,93.11914706365404,-1415.5021439999946,1868.4446119999975,0.56,-3417.3737029999957
5,101-201,101,201,100,16218.805199,162.18805199,489.91021770990415,5.234465775705703,156.4771310796384,-1415.5021439999946,1868.4446119999975,0.61,-3417.3737029999957
5,126-226,126,226,100,14153.47272500001,141.53472725000012,445.89948228110603,5.018755615402797,136.13014404908947,-1415.5021439999946,1401.2908009999992,0.63,-3417.373702999992
5,151-251,151,251,100,12684.816520000033,126.84816520000032,453.69540550076664,4.420687472055866,120.67324477927748,-1415.5021439999946,1899.8676160000068,0.59,-3417.3737029999957
5,176-276,176,276,100,15494.517903000062,154.94517903000062,471.7786256013968,5.1928982324364785,149.40473295355773,-854.7468280000012,1899.8676160000068,0.6,-1710.7051439999886
5,201-301,201,301,100,9287.520633000018,92.87520633000018,453.42249113128577,3.238670289911249,84.7913586850359,-879.0461959999975,1899.867616000005,0.58,-3047.679763000011
5,226-326,226,326,100,11584.424816999988,115.84424816999989,473.64823961887686,3.8671280436063973,108.58341603726014,-879.0461959999975,1899.867616000005,0.58,-3047.6797630000146
5,251-351,251,351,100,13552.659507999982,135.52659507999982,452.9783561232921,4.7306092905631,129.7295746183945,-879.0461959999975,1094.140959999998,0.61,-3047.6797630000146
5,276-376,276,376,100,15288.202318999978,152.88202318999979,447.6407509540523,5.400037927117859,147.81305943436644,-983.9589569999953,1255.280782999991,0.64,-2666.1417209999963
5,301-401,301,401,100,19246.539147000018,192.46539147000018,451.2099661389034,6.744410069322129,188.32519930189406,-983.9589569999953,1255.280782999991,0.64,-1688.8622400000022
5,326-426,326,426,100,14680.358995000008,146.8035899500001,457.98236492976304,5.0682487851098825,141.30267983628815,-983.9589569999953,1315.8720600000033,0.59,-1688.8622400000022
5,351-451,351,451,100,17028.113420000023,170.28113420000022,464.0347109305406,5.802111500979899,165.36887108747626,-983.9589569999953,1585.5141180000028,0.64,-1688.8622400000022
5,376-476,376,476,100,13209.833510000033,132.09833510000033,446.1430933182897,4.68158781664863,126.33419448075219,-1331.5138350000034,1585.5141180000037,0.63,-2235.600371999999
10,1-101,1,101,100,8802.759837999976,88.02759837999976,607.3901351397521,2.2915066588239767,73.945442019649,-1773.346821999985,1594.7742449999969,0.58,-3492.251048000002
10,26-126,26,126,100,18137.071612000014,181.37071612000014,712.7671327222741,4.023365679085654,170.81822052426156,-1773.346821999985,2628.960424000001,0.6,-3492.2510479999946
10,51-151,51,151,100,24577.34931100002,245.7734931100002,760.9824601354097,5.106583051763142,236.69672078268914,-1773.346821999985,2628.960424000001,0.64,-3492.2510479999946
10,76-176,76,176,100,22559.17274700006,225.5917274700006,782.8401637864309,4.556381449865139,215.22475211407644,-1773.346821999985,2628.960424000001,0.64,-3492.2510479999946
